"jointType","x","y","z","time"
0,-0.0730931237,-0.444659263,1.67048466,1
1,-0.0721475855,-0.168373764,1.74759519,1
2,-0.0706806257,0.0983719155,1.810461,1
3,-0.06635873,0.232645869,1.83574414,1
4,-0.20772174,-0.0295943171,1.75729132,1
5,-0.249087125,-0.267999619,1.6812253,1
6,-0.238652572,-0.45174244,1.59656858,1
7,-0.224959284,-0.482627332,1.594229,1
8,0.06687557,-0.0194002632,1.73023272,1
9,0.130706325,-0.187354416,1.6167897,1
10,-0.07420936,-0.189054236,1.50549614,1
11,-0.07925737,-0.20164825,1.52168846,1
12,-0.134571537,-0.436451167,1.64255106,1
13,-0.135049224,-0.7038316,1.6002,1
14,-0.18339251,-1.084478,1.59424376,1
15,-0.202662289,-1.109795,1.46978164,1
16,-0.009299792,-0.435386866,1.63362646,1
17,0.0174089689,-0.7046616,1.59942782,1
18,0.03960329,-1.08446646,1.60020256,1
19,0.0323361941,-1.1161027,1.47631633,1
20,-0.07111683,0.03285829,1.79709375,1
21,-0.217528835,-0.5424385,1.5724864,1
22,-0.262722671,-0.485443175,1.58467162,1
23,-0.140941471,-0.210677743,1.48755991,1
24,-0.05809865,-0.1625236,1.48827457,1
0,-0.07175065,-0.4454053,1.66692,2
1,-0.07883904,-0.169562668,1.7481662,2
2,-0.08574998,0.09630015,1.81395531,2
3,-0.07529037,0.230336517,1.84076047,2
4,-0.216412023,-0.0292233713,1.74085546,2
5,-0.258808523,-0.279056132,1.65759313,2
6,-0.242090523,-0.461067975,1.569863,2
7,-0.2266757,-0.4963916,1.56530142,2
8,0.0649863556,-0.0281137861,1.75315535,2
9,0.112110086,-0.219333723,1.697859,2
10,0.106456682,-0.212771341,1.48950982,2
11,0.111019917,-0.219060317,1.46963859,2
12,-0.132650912,-0.435441226,1.62781477,2
13,-0.142443657,-0.708156765,1.5966121,2
14,-0.179982528,-1.08424437,1.59122455,2
15,-0.181728825,-1.1133585,1.4661119,2
16,-0.00752924,-0.437371343,1.637314,2
17,0.0136451786,-0.7053818,1.6029768,2
18,0.037302874,-1.086791,1.60355532,2
19,0.0463240258,-1.117734,1.47956884,2
20,-0.08392079,0.03103425,1.79980767,2
21,-0.21701926,-0.536860347,1.54767847,2
22,-0.265497684,-0.506379962,1.560283,2
23,0.08947302,-0.230653629,1.42321277,2
24,0.131337166,-0.253748536,1.44124985,2
0,-0.06359538,-0.44500494,1.66002011,3
1,-0.07219008,-0.1682232,1.73626518,3
2,-0.079218924,0.0989241153,1.79745436,3
3,-0.0609159172,0.234881237,1.826695,3
4,-0.207379237,-0.0228753239,1.7253598,3
5,-0.2512002,-0.273617327,1.64093685,3
6,-0.231953815,-0.4561931,1.55498922,3
7,-0.220370024,-0.492540717,1.55546021,3
8,0.07427944,-0.0312189534,1.75456154,3
9,0.112730026,-0.226114064,1.70943022,3
