"jointType","x","y","z","time"
0,-0.062241137,-0.3377558,2.18321943,1
1,-0.02957316,-0.0555459931,2.17029166,1
2,0.002482955,0.218079492,2.14372158,1
3,0.00979334,0.343920916,2.14305639,1
4,-0.140899032,0.11756254,2.151118,1
5,-0.209193975,-0.116483219,2.18208361,1
6,-0.263517469,-0.28647384,2.13842726,1
7,-0.2690537,-0.328212082,2.11190844,1
8,0.113663808,0.09442938,2.11484933,1
9,0.147278771,-0.06183382,2.0093298,1
10,0.111080058,-0.0934668854,1.80308187,1
11,0.09713385,-0.101968385,1.74007535,1
12,-0.123618416,-0.3280623,2.15610576,1
13,-0.163875848,-0.59681493,2.08484578,1
14,-0.176128685,-0.8789054,2.07309365,1
15,-0.1689203,-0.969518363,1.98481309,1
16,0.0008221426,-0.3373581,2.14519024,1
17,0.03164787,-0.621987,2.11129451,1
18,0.0485872142,-0.9202381,2.09674,1
19,0.042531766,-1.01197457,2.01137161,1
20,-0.005519337,0.150618076,2.152662,1
21,-0.2756408,-0.38687712,2.09039,1
22,-0.241249517,-0.3304026,2.09061837,1
23,0.08884474,-0.06634328,1.67504811,1
24,0.1413856,-0.08982015,1.70662236,1
0,-0.08128607,-0.331060469,2.16456914,2
1,-0.06434359,-0.04576112,2.175368,2
2,-0.0516566075,0.231662959,2.17833352,2
3,-0.06306681,0.355755359,2.18567777,2
4,-0.185535073,0.113325536,2.17135048,2
5,-0.230134666,-0.130601123,2.17093587,2
6,-0.2612712,-0.3198915,2.08689332,2
7,-0.259680867,-0.35997355,2.06677055,2
8,0.0744551048,0.110593028,2.13791513,2
9,0.159555689,-0.0521231927,2.11423182,2
10,0.08708522,-0.07107609,1.87050533,2
11,0.067964755,-0.053345494,1.80981457,2
12,-0.141124576,-0.325153321,2.140295,2
13,-0.166686311,-0.605266452,2.07073283,2
14,-0.17922169,-0.829395,2.07438064,2
15,-0.17015934,-0.927740633,2.00087476,2
16,-0.0190458242,-0.326489568,2.1230197,2
17,0.0232179742,-0.594673455,2.089742,2
18,0.0443567447,-0.892787933,2.08171153,2
19,0.03544776,-0.923646748,1.95883012,2
20,-0.0547536947,0.163422063,2.17945862,2
21,-0.268497139,-0.41788885,2.04227781,2
22,-0.219566822,-0.3659121,2.050611,2
23,0.08804556,-0.0265246779,1.75005782,2
24,0.02427719,-0.0423980057,1.79127288,2
0,-0.102613837,-0.3307978,2.14720535,3
1,-0.103153974,-0.04905767,2.181678,3
2,-0.101701722,0.22486876,2.20357513,3
3,-0.118221618,0.348937482,2.2113204,3
4,-0.234413818,0.0985721648,2.18234658,3
5,-0.2610248,-0.119510718,2.16927361,3
6,-0.259019464,-0.3282739,2.064947,3
7,-0.246245965,-0.3806821,2.04574633,3
8,0.0249404069,0.115353972,2.167264,3
9,0.104545891,-0.0812227,2.03397822,3
10,0.036840722,0.00727649033,1.87152672,3
11,0.0366610959,0.00285406364,1.87094522,3
12,-0.1624313,-0.328468382,2.12078571,3
13,-0.172971487,-0.6079863,2.06718564,3
14,-0.182777062,-0.884165466,2.07444525,3
15,-0.171590686,-0.9713191,1.98335874,3
16,-0.03951087,-0.3227853,2.10848379,3
17,0.0134601388,-0.595035255,2.05383039,3
18,0.0370519534,-0.875735641,2.070882,3
19,0.0263143461,-0.968940139,1.98809659,3
20,-0.102247812,0.157406852,2.20025659,3
21,-0.240650564,-0.439833432,2.02499342,3
22,-0.212201327,-0.380433351,2.02538466,3
23,0.0158147737,0.0466962,1.8133558,3
24,-0.000411053246,0.0168191381,1.8661,3
0,-0.09218052,-0.328676,2.15365124,4
1,-0.08929469,-0.04767365,2.18538952,4
2,-0.0851578042,0.225737616,2.20481443,4
3,-0.09719459,0.349269956,2.21314621,4
4,-0.2165481,0.0999477953,2.1828022,4
5,-0.2518422,-0.118194796,2.16734886,4
6,-0.253143847,-0.320207745,2.065216,4
7,-0.244345143,-0.378602862,2.04615664,4
8,0.04674812,0.1177856,2.17370033,4
9,0.116409324,-0.08471487,2.041406,4
10,0.06918513,-0.0311301127,1.9351666,4
11,0.0396098122,0.00252865674,1.87441516,4
12,-0.153054237,-0.3257024,2.12705564,4
13,-0.16984,-0.619131565,2.06991053,4
14,-0.180488855,-0.8374043,2.08004379,4
15,-0.171041757,-0.9342204,2.00311136,4
16,-0.02807769,-0.321488768,2.11510634,4
17,0.01998035,-0.599333167,2.06858253,4
18,0.0367148481,-0.8970339,2.04296517,4
19,0.034669172,-0.921489656,1.91721964,4
20,-0.08635232,0.158376366,2.20212245,4
21,-0.231135666,-0.447013885,2.03059483,4
22,-0.201463267,-0.346354216,2.03750014,4
23,0.0148638692,0.0473665148,1.81818748,4
24,-0.00155953655,0.00566679239,1.86708868,4
0,-0.0862334445,-0.327609569,2.14873171,5
1,-0.0820677,-0.0477303341,2.18053484,5
2,-0.0770914257,0.224400088,2.1993556,5
3,-0.0896402746,0.350524575,2.205698,5
4,-0.209048256,0.101231039,2.177398,5
5,-0.247037113,-0.116760328,2.162708,5
6,-0.246223018,-0.339474916,2.05348563,5
7,-0.234778389,-0.3823383,2.04131556,5
8,0.061094895,0.121065676,2.169919,5
9,0.117746063,-0.08245357,2.03953218,5
10,0.03380687,0.0217812527,1.8734988,5
11,0.0193476342,0.0417432263,1.86662424,5
12,-0.146801665,-0.3252757,2.12487626,5
13,-0.167335212,-0.611143231,2.06739783,5
14,-0.178484052,-0.8363538,2.07526684,5
15,-0.170653731,-0.9337199,1.9994483,5
16,-0.02324009,-0.319850653,2.10688066,5
17,0.0221512411,-0.588673234,2.06339169,5
18,0.0359017923,-0.886953235,2.04989648,5
19,0.0339817926,-0.914838135,1.92541659,5
20,-0.07854961,0.157399967,2.19685721,5
21,-0.2200239,-0.449455321,2.022321,5
22,-0.193278238,-0.359487027,2.0275,5
23,0.004498957,0.06811657,1.81839919,5
24,-0.0241463184,0.044185847,1.8566668,5
0,-0.0746974349,-0.32878688,2.13691831,6
1,-0.0763921142,-0.05073587,2.17803335,6
2,-0.07802987,0.217985153,2.206259,6
3,-0.08804133,0.3477963,2.21519756,6
4,-0.207290262,0.0871284455,2.15255356,6
5,-0.163967326,-0.06861346,2.021364,6
6,-0.06753919,-0.0314165838,1.8340534,6
7,-0.05519031,-0.029476855,1.80450559,6
8,0.04358999,0.094434686,2.14849,6
9,0.0260989573,-0.09261246,1.97196674,6
10,-0.05928204,-0.0554271266,1.80561781,6
11,-0.0584380925,-0.0253437478,1.79740644,6
12,-0.134789333,-0.325663924,2.10116386,6
13,-0.165896356,-0.6155698,2.06446052,6
14,-0.174293965,-0.8722799,2.07091331,6
15,-0.167185158,-0.9636156,1.98376524,6
16,-0.0127813714,-0.321938246,2.1068368,6
17,0.0229592249,-0.5884944,2.05637622,6
18,0.0374183878,-0.886638463,2.05090022,6
19,0.03773873,-0.9166789,1.92735875,6
20,-0.07782281,0.151893035,2.20105314,6
21,-0.0302748475,-0.0173519962,1.75180733,6
22,-0.029916,-0.0617421828,1.80990922,6
23,-0.07854501,0.00222799741,1.747638,6
24,-0.0913338,-0.0266887136,1.798375,6
0,-0.074721545,-0.325876,2.12541962,7
1,-0.07746021,-0.0505205877,2.16568542,7
2,-0.08000659,0.217323765,2.19315147,7
3,-0.096740365,0.347868443,2.20077538,7
4,-0.212429717,0.09451107,2.16202044,7
5,-0.22256203,-0.074169375,2.07458878,7
6,-0.0800335854,0.00878249,1.97896481,7
7,-0.0467318855,-0.009894089,1.81481147,7
8,0.0439108051,0.09932756,2.1437614,7
9,0.0476632975,-0.07576257,2.01541376,7
10,-0.0348598324,-0.06452103,1.84374142,7
11,-0.04675362,-0.0140915979,1.81183,7
12,-0.134431332,-0.3232511,2.092909,7
13,-0.1664017,-0.60649544,2.05285478,7
14,-0.17687571,-0.82972157,2.06738782,7
15,-0.167591333,-0.9268147,1.991001,7
16,-0.0128275547,-0.318591624,2.09215379,7
17,0.02117816,-0.588629842,2.03388047,7
18,0.0359636545,-0.8862962,2.0315423,7
19,0.0312977619,-0.917505443,1.90872014,7
20,-0.07945301,0.151356921,2.18851614,7
21,-0.0277138483,0.000184251912,1.76123977,7
22,-0.0213651583,-0.033399418,1.807737,7
23,-0.0681374744,0.0144294072,1.75706482,7
24,-0.0773728043,-0.0136667471,1.81465411,7
0,-0.07621335,-0.3267114,2.12836218,8
1,-0.07786739,-0.05356827,2.16733885,8
2,-0.07828239,0.212060034,2.19368935,8
3,-0.09863228,0.342533678,2.21298623,8
4,-0.212085709,0.0912455246,2.20194626,8
5,-0.2710983,-0.08226097,2.191152,8
6,-0.126790509,-0.0110175479,2.08648348,8
7,-0.0186372548,0.0280741788,1.81416333,8
8,0.0472324267,0.114251904,2.14986372,8
9,0.059531197,-0.06179706,2.01857114,8
10,0.003045424,-0.006451365,1.871861,8
11,-0.0141500738,0.019892171,1.81028008,8
12,-0.134770676,-0.328481436,2.111558,8
13,-0.163651347,-0.6089459,2.05532217,8
14,-0.170737416,-0.8722875,2.072302,8
15,-0.164399177,-0.9660763,1.98974454,8
16,-0.014728005,-0.315336138,2.08099556,8
17,0.023749508,-0.5826126,2.03526688,8
18,0.0342898555,-0.8802862,2.03425455,8
19,0.0149369556,-0.912362337,1.91359961,8
20,-0.07833253,0.146637931,2.18936682,8
21,-0.000161101241,0.04351182,1.761073,8
22,-0.037078198,0.06613608,1.78485715,8
23,-0.0288910922,0.0523451567,1.756608,8
24,-0.0454750769,0.0351374857,1.8105,8
0,-0.083480604,-0.325871736,2.130117,9
1,-0.07394415,-0.0458366424,2.16214371,9
2,-0.06621663,0.225685969,2.18093181,9
3,-0.08279013,0.3512143,2.192946,9
4,-0.201775968,0.0981347561,2.1711545,9
5,-0.248000339,-0.140659988,2.168061,9
6,-0.2578743,-0.321047,2.066048,9
7,-0.248881638,-0.373381466,2.04611635,9
8,0.0452054851,0.114799574,2.14632845,9
9,0.03982064,-0.062216755,1.958323,9
10,0.009535583,0.03944272,1.79946089,9
11,0.00239217,0.03545104,1.81886506,9
12,-0.142662242,-0.324306846,2.11225867,9
13,-0.161220431,-0.6096688,2.05221868,9
14,-0.172863245,-0.8282488,2.065073,9
15,-0.168332428,-0.9282583,1.99567246,9
16,-0.0217376072,-0.317382157,2.08239746,9
17,0.0286283921,-0.5843965,2.04268932,9
18,0.045129057,-0.8820418,2.028947,9
19,0.0367598459,-0.910123646,1.90489662,9
20,-0.06798363,0.1588039,2.17823887,9
21,-0.242995441,-0.440463245,2.02790546,9
22,-0.2106393,-0.36470753,2.039167,9
23,-0.0125731546,0.06893097,1.77236545,9
