"jointType","x","y","z","time"
0,-0.0206203125,-0.34829247,1.79966247,1
1,-0.01174284,-0.07342093,1.88073862,1
2,-0.00265086628,0.191702023,1.948471,1
3,0.004357387,0.3141622,1.94306529,1
4,-0.142650023,0.0741154253,1.91779232,1
5,-0.1993899,-0.165645316,1.86372972,1
6,-0.20747368,-0.336556464,1.73461282,1
7,-0.196891263,-0.34665814,1.73634207,1
8,0.131489739,0.10690973,1.879579,1
9,0.164705947,-0.06433836,1.68775237,1
10,0.09115854,-0.127178282,1.4899025,1
11,0.09623695,-0.124297574,1.47992468,1
12,-0.0839765742,-0.3438441,1.77130949,1
13,-0.06586864,-0.6475815,1.74447858,1
14,-0.0570530668,-0.9460178,1.74835968,1
15,-0.0694103,-0.974032342,1.64259219,1
16,0.04355433,-0.339511633,1.75983667,1
17,0.0373500176,-0.6437288,1.73267627,1
18,0.0521188974,-0.939784646,1.75805533,1
19,0.04004655,-0.9779141,1.65856886,1
20,-0.00494220061,0.126617938,1.93381965,1
21,-0.196698457,-0.397769749,1.70591342,1
22,-0.245395645,-0.340635,1.73160434,1
23,0.0948468447,-0.09568852,1.39448583,1
24,0.0499790125,-0.128778651,1.45659983,1
0,-0.017074151,-0.348680317,1.80727732,2
1,-0.007995295,-0.0742919,1.88504624,2
2,0.000837746134,0.190383881,1.94876838,2
3,0.00561390352,0.313639,1.9451108,2
4,-0.138155654,0.07282898,1.9193579,2
5,-0.197393343,-0.1676809,1.86933792,2
6,-0.203885183,-0.339992583,1.74206531,2
7,-0.192115128,-0.34957543,1.7423718,2
8,0.133064955,0.112524733,1.8781141,2
9,0.169516742,-0.0830794349,1.66249418,2
10,0.0739196539,-0.0685611442,1.46742475,2
11,0.0843422,-0.0700202063,1.51178932,2
12,-0.08060283,-0.3444881,1.77813315,2
13,-0.0624462366,-0.6483499,1.74828482,2
14,-0.05975524,-0.9471481,1.74738765,2
15,-0.07533923,-0.972247243,1.64065778,2
16,0.0471400842,-0.3397134,1.76829243,2
17,0.0410243347,-0.6441338,1.73656237,2
18,0.054756742,-0.9409296,1.75649393,2
