"jointType","x","y","z","time"
0,0.109834015,-0.40879634,2.03081775,1
1,0.121459544,-0.1142459,2.08133221,1
2,0.1328564,0.170761809,2.116587,1
3,0.125659928,0.297252029,2.12321162,1
4,-0.0256876722,0.038251467,2.11065,1
5,-0.06846193,-0.223619536,2.033651,1
6,-0.0714158937,-0.416510582,1.97556221,1
7,-0.06810316,-0.4366463,1.9710933,1
8,0.219188884,0.0548560321,2.0011034,1
9,0.184345782,-0.130670756,1.81923342,1
10,0.127468392,-0.1872792,1.72415459,1
11,0.106062867,-0.206247583,1.69166172,1
12,0.05245922,-0.409411,2.01393366,1
13,0.07208431,-0.736478865,1.97049952,1
14,0.0510144681,-1.02109,1.965731,1
15,0.005446203,-1.04377258,1.85139191,1
16,0.1632287,-0.393478632,1.9748019,1
17,0.219675541,-0.7152288,1.95774281,1
18,0.247206613,-0.9914874,1.93289626,1
19,0.18991363,-1.07803893,1.91360283,1
20,0.13009958,0.10068091,2.11029553,1
21,-0.05436783,-0.468421817,1.96554828,1
22,-0.0445202738,-0.41826725,1.94158983,1
23,0.07932526,-0.231707364,1.62879491,1
24,0.10533005,-0.224448889,1.6145,1
0,0.109424517,-0.407156825,2.02133417,2
1,0.122444354,-0.109435976,2.07385087,2
2,0.134493187,0.1788192,2.11117077,2
3,0.121859163,0.301743984,2.12698817,2
4,-0.02398295,0.03895106,2.10721326,2
5,-0.07053282,-0.221780509,2.02805543,2
6,-0.07288596,-0.414540619,1.96932113,2
7,-0.07021429,-0.435263664,1.96337,2
8,0.22308135,0.05723229,1.99916089,2
9,0.254713148,-0.07801797,1.780912,2
10,0.1672078,-0.08688387,1.68347251,2
11,0.140221328,-0.07854939,1.64820218,2
12,0.0508318543,-0.406758338,2.00412726,2
13,0.06784332,-0.731877863,1.96697259,2
14,0.0505303,-1.01664913,1.96488154,2
15,0.0060865134,-1.04082966,1.85062158,2
16,0.164192945,-0.392692357,1.964917,2
17,0.2198085,-0.7165606,1.95468009,2
18,0.24892579,-0.9940577,1.93112636,2
19,0.204429179,-1.07824612,1.91451728,2
20,0.131657958,0.107918091,2.10434365,2
21,-0.06752166,-0.463252872,1.957111,2
22,-0.04317482,-0.431568742,1.93192577,2
23,0.0894586,-0.08262983,1.62257993,2
24,0.159229144,-0.08032166,1.58314288,2
0,0.122463174,-0.382591665,2.00875568,3
1,0.126675636,-0.0906297043,2.06174946,3
2,0.129193977,0.192864761,2.09856415,3
3,0.133183643,0.314637631,2.109436,3
4,-0.0542914532,0.07713438,2.119812,3
5,-0.2513269,0.112035781,2.10256386,3
6,-0.18862243,0.156699568,2.0357573,3
7,-0.145420551,0.188774526,2.02138519,3
8,0.274258733,0.06708828,2.023619,3
