1574758177.000000, 1574758177.000000, 1574758177.000000
32.000000, 32.000000, 32.000000
-57,10,28
-60,6,30
-60,8,35
-59,9,36
-55,5,32
-56,2,33
-56,4,30
-59,4,31
-61,0,38
-59,0,41
-58,0,35
-58,3,28
-57,6,30
-54,4,28
-55,4,26
-49,5,31
-42,12,37
-39,14,31
-56,3,39
-57,-7,56
-55,-4,49
-51,4,43
-47,17,45
-45,15,45
-48,4,46
-49,0,46
-58,1,28
-53,1,32
-35,-3,44
-4,9,61
-4,11,89
-3,7,91
-9,-3,63
-19,-5,53
-26,-4,52
3,0,55
7,0,65
-8,3,55
5,-14,61
4,-23,68
-3,-24,67
-7,-22,60
1,-14,60
-16,-17,49
-5,-11,44
-7,-11,44
-32,-32,41
5,-34,70
5,-37,71
-15,-41,57
-8,-36,62
-1,-35,70
-9,-36,45
-6,-34,51
-10,-39,56
-7,-45,56
2,-40,65
6,-25,62
-6,-37,50
-9,-44,56
-2,-55,58
8,-35,41
21,-32,42
2,-34,42
-2,-37,55
-7,-37,51
2,-47,44
3,-50,45
-3,-46,44
-13,-40,40
-23,-39,37
-15,-50,49
-14,-40,49
-3,-43,45
2,-35,43
4,-23,47
-2,-41,42
11,-29,57
-8,-34,49
-1,-39,56
-16,-37,51
-11,-43,58
-4,-49,55
-2,-45,45
3,-44,49
-3,-47,46
-5,-42,45
-8,-41,44
-12,-40,42
-13,-44,39
-8,-46,41
-3,-41,51
-2,-44,50
-6,-39,49
-6,-35,53
-7,-36,49
-4,-52,40
-11,-34,53
-11,-39,51
-11,-45,44
-8,-43,44
-9,-41,45
-8,-51,40
-15,-53,43
-34,-60,47
-27,-51,49
-29,-43,48
-19,-43,50
-18,-27,50
-17,-26,50
-29,-28,36
-22,-28,33
-29,-31,33
-32,-34,42
-26,-37,45
-19,-37,52
-33,-44,42
-31,-25,42
-31,-15,47
-28,-30,33
-22,-27,37
-16,-34,61
3,-39,48
-2,-40,42
-3,-36,59
0,-33,60
-7,-52,48
-7,-53,44
-9,-49,45
-6,-43,50
-16,-44,42
-18,-40,37
-24,-54,54
-17,-52,53
-16,-45,47
-16,-33,43
-3,-61,44
13,-16,55
22,-16,58
-12,-62,51
3,-32,53
-2,-37,51
-5,-37,53
-2,-35,51
-6,-28,52
-5,-29,53
-3,-25,48
2,-31,59
4,-36,63
7,-35,62
-6,-39,55
4,-36,62
3,-23,62
5,-26,59
6,-29,60
-4,-31,51
-4,-29,50
6,-16,54
0,-27,48
-6,-18,46
-4,-38,46
13,-25,54
-4,-40,47
5,-29,55
5,-41,62
1,-29,65
10,-35,56
16,-34,58
12,-32,55
4,-39,49
2,-41,48
-6,-48,45
-22,-48,33
9,-73,27
5,-69,28
5,-68,47
-10,-47,35
9,-37,53
11,-34,57
6,-35,49
1,-37,45
6,-41,42
-5,-43,31
18,-46,54
7,-46,55
-4,-47,60
-21,-68,31
-10,-51,28
35,-41,22
21,-20,17
41,-43,3
93,-1,38
44,-32,0
33,-34,7
32,-37,27
29,-35,21
19,-37,16
23,-40,24
33,-39,22
53,-34,26
50,-39,29
35,-42,28
16,-55,18
21,-58,21
14,-60,26
10,-63,23
8,-64,16
20,-62,23
26,-58,25
26,-56,22
35,-56,23
35,-54,25
34,-55,25
39,-55,32
34,-56,28
44,-56,36
49,-54,43
51,-53,44
52,-48,45
49,-46,48
50,-46,46
48,-41,44
43,-39,46
39,-34,45
32,-25,44
23,-17,39
20,-15,40
16,-15,44
18,-22,41
0,-19,26
33,-25,44
42,-24,35
65,-5,42
64,3,40
58,6,32
50,15,29
46,17,28
45,17,29
37,23,26
44,27,28
43,24,26
40,20,25
38,23,28
36,24,24
42,25,22
40,29,26
34,41,27
35,42,35
37,44,38
36,44,33
42,44,39
45,50,44
37,47,40
33,45,34
40,46,43
41,48,37
32,48,25
37,46,26
38,49,26
41,52,30
41,57,37
33,55,36
27,54,33
41,53,39
36,55,34
21,51,29
24,51,34
25,50,34
19,44,33
16,38,38
13,37,39
4,37,35
-8,30,32
-8,31,36
-3,33,52
-3,34,54
-5,32,51
-9,26,47
