Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
320,8,278,3.317142857,3.273571429,807,607
321,364,537,3.352222222,3.21,825,513
322,578,717,3.257142857,3.168571429,927,577
323,782,1532,3.223421053,3.139210526,800,543
324,2298,2393,3.154,3.162,946,512
325,3198,3435,3.2175,3.191666667,903,520
326,3478,4133,3.216969697,3.163030303,916,497
327,4725,4815,3.196,3.136,1001,617
328,5062,7628,3.137286822,3.084186047,837,393
329,7694,7886,3.146,3.064,879,469
330,7915,8126,3.13,3.070909091,858,442
331,8176,8729,3.085,3.006071429,878,325
332,8816,8969,3.08125,3.04625,946,512
333,9522,9612,3.274,3.316,1152,531
334,9653,10063,3.424285714,3.52047619,1009,492
335,10917,11050,3.304285714,3.267142857,869,482
336,11072,12850,3.137865169,3.084044944,880,536
337,13212,13745,3.25,3.135555556,823,286
338,13815,14205,3.3055,3.2,796,244
339,14332,14546,3.46,3.260909091,843,124
340,15173,15525,3.453333333,NA,1274,709
341,15615,16905,3.543230769,3.702461538,1187,571
342,17855,18063,3.585454545,3.738181818,1241,597
343,18112,19403,3.622461538,3.828153846,1103,496
344,20390,20542,3.4875,3.6225,795,275
345,20629,24758,3.307198068,3.22884058,826,456
346,24808,25718,3.103043478,3.034347826,879,395
347,25768,25957,3.069,2.99,882,500
348,26027,26477,3.034090909,2.965652174,811,500
349,26527,26661,3.051428571,2.991428571,912,544
350,26726,26898,3.053333333,2.956666667,852,542
351,27264,27519,3.104615385,3.079230769,1099,511
352,27845,28778,3.122765957,3.104255319,949,561
353,28843,28999,3.2175,3.09875,907,531
354,29401,29634,3.08,2.963333333,1315,569
355,29742,29872,3.075714286,3.137142857,784,509
356,29902,29992,3.088,3.136,779,520
357,30161,31893,3.104942529,3.088505747,916,547
358,31940,32459,3.107307692,3.086153846,825,545
359,32480,33117,3.0815625,3.004375,846,522
360,33184,34677,3.092666667,3.070666667,935,601
361,34739,34894,3.181428571,3.1875,553,506
362,34918,35017,3.154,3.122,611,538
363,35046,35335,3.146666667,3.087333333,693,562
364,35498,38547,3.274183007,3.290588235,1007,574
365,38881,38994,3.388333333,3.333333333,1053,503
366,39042,39174,3.277142857,3.238571429,1027,448
367,39203,39293,3.236,3.154,984,428
368,39375,39453,3.1525,3.1,1011,706
369,39656,40632,3.38755102,3.369387755,1008,584
370,40697,40773,3.58,3.56,878,545
371,40795,41206,3.614285714,3.546190476,845,499
372,41435,41573,3.621428571,3.471428571,929,453
373,41915,42032,3.666666667,3.565,992,513
374,42075,42406,3.798235294,3.7,1097,534
375,42473,42612,3.757142857,3.69,1013,370
376,42659,42751,3.586,3.514,942,344
377,42834,43329,3.2572,3.1348,1037,294
378,43419,43709,3.188,3.092666667,797,384
379,43779,44451,3.230882353,3.128235294,905,382
380,44475,44808,3.197647059,3.114117647,868,420
381,44852,45145,3.2,3.104666667,877,457
382,45192,45730,3.114444444,3.021851852,909,360
383,45756,45830,3.135,3.0425,888,407
384,45919,46049,3.094285714,3.042857143,997,522
385,46073,46409,3.103529412,3.049411765,1022,512
