Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
220,103724,103896,5.594444444,4.8,820,287
221,103925,104135,5.557272727,NA,801,304
222,104160,104694,5.585925926,4.8,785,349
223,104724,104976,5.581538462,4.7475,829,360
224,105003,105072,5.48,4.81,783,393
225,105158,105310,5.67375,4.67,822,347
226,105458,105533,5.5625,5.125,684,392
227,105639,105874,5.8025,5.0525,858,373
228,105981,106056,5.8425,4.81,924,421
229,106260,106372,5.733333333,4.92,911,375
230,106400,106475,5.67,NA,918,333
231,106540,106753,5.540909091,4.96,884,303
232,106779,107095,5.52625,4.86,856,323
233,107157,107291,5.42,5.043333333,604,307
234,107420,107835,5.505714286,4.664285714,498,363
235,107943,108095,5.47875,5.555,537,408
236,108117,108214,5.444,5.225,529,421
237,108359,108429,5.5875,5.395,925,546
238,108458,108569,5.47,5.336666667,902,543
239,108616,108872,5.426923077,5.155,929,487
240,108902,108991,5.368,5.156,906,523
241,109138,109310,5.483333333,5.003333333,1096,573
242,110516,110951,4.946818182,NA,1065,411
243,111178,111329,4.93625,4.82375,909,514
244,111796,111930,5.13,5.127142857,1039,270
245,111994,112151,5.2475,5.365,988,319
246,112575,112644,5.2675,5.01,862,540
247,112674,112763,5.346,5.1025,917,540
248,112793,113186,5.441,5.112631579,974,552
249,113294,113510,5.387272727,4.987272727,881,546
250,113640,113751,5.471666667,5.135,890,458
251,113899,114049,5.47125,5.015,768,293
252,114594,115130,5.337777778,5.02,771,390
253,115378,115569,5.437,5.099,861,530
254,115595,115688,5.456,5.024,898,540
255,115757,116206,5.5,5.114705882,963,609
256,116312,116929,5.481612903,4.921666667,854,352
257,117015,117089,5.41,4.7,1073,293
258,117135,117270,5.352857143,4.54,1000,282
259,117310,117502,5.46,4.655,946,291
260,117572,117782,5.489090909,5.132,781,385
261,117852,118105,5.343846154,NA,958,292
262,118152,118481,5.502352941,5.11,820,341
263,118569,118748,5.375555556,5.05,643,300
264,118773,118848,5.325,4.84,692,328
265,118870,119046,5.35,4.91,740,302
266,119076,119265,5.275,5.035714286,697,311
267,119315,119504,5.4,NA,753,292
268,119573,119685,5.238333333,4.95,665,254
269,119792,119902,5.188333333,NA,595,263
270,119972,120724,5.449210526,5.015,747,298
271,120794,120865,5.645,5.223333333,854,635
272,120970,121166,5.562,5.262,816,581
273,121588,121784,5.486,4.82,876,316
274,121809,121903,5.524,NA,858,302
275,121929,122121,5.561,4.9975,824,324
276,122148,122607,5.476086957,5.074285714,846,377
277,123171,123500,5.35,5.066470588,993,567
278,124409,124583,5.556666667,5.34125,851,656
279,124670,124802,5.625714286,5.14,857,320
280,124909,125141,5.688333333,4.7,974,376
281,125289,125721,5.434090909,NA,749,304
282,125772,125923,5.54,NA,865,266
283,126012,126144,5.574285714,4.75,969,296
284,126194,126335,5.56125,NA,891,268
285,126566,126724,5.885,5.14,1075,599
286,127085,127164,5.5375,NA,1031,279
287,127210,127284,5.6875,NA,1067,327
288,128008,128142,5.547142857,4.87,922,467
289,128367,128481,5.591666667,5.396666667,816,429
290,128530,128781,5.592307692,5.056666667,890,507
291,128811,129422,5.453548387,4.981333333,888,452
292,129444,129643,5.675,4.66,932,406
293,129671,129983,5.668125,4.61,997,413
294,130006,130142,5.522857143,4.52,1070,433
295,130168,130361,5.279,4.42,1053,426
296,130383,130520,5.258571429,4.37,1037,398
297,130545,130739,5.152,NA,991,346
298,130964,131138,5.753333333,NA,1077,509
299,131623,131919,5.505333333,4.968888889,696,383
300,131989,132059,5.6775,4.776666667,732,401
301,132249,132380,5.867142857,4.766666667,863,500
302,132444,132599,5.66125,5.00875,742,486
303,132789,133461,5.458235294,NA,804,318
304,133548,133700,5.52,5.156666667,690,342
305,133721,133895,5.518888889,NA,706,301
306,133921,134318,5.491,5.01,747,329
307,134361,134660,5.49,5.112,704,413
308,134686,134997,5.39875,5.275,759,379
309,135126,135255,5.282857143,5.234285714,597,574
310,135503,135813,5.179375,4.890769231,997,491
311,136083,136377,5.359333333,5.143076923,921,510
312,136420,136576,5.46125,5.15,917,453
313,136646,136757,5.288333333,5.176666667,809,462
314,136787,137058,5.341428571,5.248461538,779,410
315,137088,137418,5.061176471,4.988235294,853,446
316,137486,137618,4.881428571,4.693333333,916,367
317,137648,138118,4.911666667,4.571428571,1009,404
318,138426,138637,4.961818182,4.793636364,873,465
319,138719,138797,4.9125,4.8925,638,494
320,138902,138997,4.882,4.878,673,628
321,139086,139255,4.867777778,4.773333333,905,606
322,139325,139434,4.936666667,4.83,965,615
323,139520,139596,5.205,5.04,1046,798
324,139640,139813,5.343333333,5.185555556,944,795
