Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
1,8656,8826,4.524444444,NA,1597,785
2,9015,9124,4.638333333,NA,1675,865
3,9254,9391,4.938571429,NA,1553,854
4,10716,10829,4.196666667,NA,1323,941
5,15509,15582,4.535,4.585,964,273
6,16754,16943,NA,3.936,695,405
7,18390,18486,3.888,3.936,1018,515
8,20214,20344,3.954285714,3.96,622,552
9,20453,20543,NA,3.788,711,363
10,21485,21560,NA,3.5925,560,596
11,21806,21884,NA,3.6325,575,662
12,24288,24461,4.083333333,4.125555556,1073,498
13,24490,24561,3.96,4.1675,1039,468
14,25344,25442,4.104,4.22,1157,182
15,25464,25574,4.11,4.076666667,1172,108
16,25624,25815,3.995,4.024,1091,38
17,25845,25921,3.8825,NA,921,83
18,27042,27179,3.784285714,3.098571429,1319,9
19,27470,27539,4.0525,3.54,1369,69
20,27566,27639,4.13,3.555,1335,25
21,28442,28553,3.81,3.934,527,369
22,28582,28679,3.6,3.9,530,389
23,29121,29197,3.7375,3.685,1193,397
24,29225,29395,3.73,3.934444444,1186,447
25,29822,29894,3.585,3.6525,809,516
26,29981,30156,3.625555556,3.645555556,847,523
27,30342,31158,3.287073171,3.47,614,483
28,31206,31453,3.386363636,3.454615385,648,370
29,31519,31635,3.16,3.401666667,544,431
30,31660,33997,3.45,3.503504274,604,371
31,34538,34612,4.21,4.2025,544,536
32,34639,34731,4.05,4.2,533,629
33,34760,34850,3.98,4.222,675,589
34,34880,34971,NA,4.28,646,550
35,35078,35211,4.351428571,4.584285714,1182,541
36,35361,35450,4.5,4.688,1038,572
37,35480,35570,4.53,4.738,968,547
38,36458,36528,NA,4.8775,1200,944
39,37216,37354,4.382857143,4.87,601,641
40,37935,38154,3.623636364,3.626363636,706,365
41,38221,38313,3.342,3.502,722,588
42,38383,38473,3.462,3.404,904,623
43,38503,38992,3.4004,3.404,865,591
44,39739,39852,3.536666667,3.751666667,577,620
45,39943,40084,3.4475,3.58,684,661
46,40134,40711,3.491034483,3.49862069,775,624
47,40761,41208,3.425217391,3.509565217,785,567
48,41278,41348,3.4475,3.63,692,398
49,41378,41467,3.704,3.704,737,397
50,41716,41826,3.866666667,3.86,591,388
51,41955,42031,3.8325,3.95,579,461
52,42214,42505,NA,3.984,703,500
53,42612,42730,3.646666667,3.903333333,518,564
54,42816,42989,3.731111111,3.767777778,941,554
55,43052,43246,3.625,3.698,803,683
56,43273,44126,3.529302326,3.594651163,877,670
57,44196,44384,3.395,3.405,881,469
58,44434,44810,3.424736842,3.423684211,828,422
59,44852,44989,3.49,3.51,867,476
60,46213,46407,3.766,3.79,701,424
61,46450,46664,3.578181818,3.59,753,371
62,46750,47065,3.44125,3.476875,892,709
63,47094,47446,3.444444444,3.527222222,847,710
64,47494,47747,3.265384615,3.46,687,792
65,47817,47966,3.21625,3.4275,715,636
66,47994,48367,3.173684211,3.369473684,633,667
67,48410,48548,3.201428571,3.448571429,574,542
68,48652,48724,NA,3.46,678,471
69,48751,49066,3.225,3.41875,546,580
70,49249,49845,3.428,3.537,652,760
71,49988,50302,3.3025,3.525625,529,557
72,50373,50464,3.366,3.578,654,798
73,50493,50807,3.398666667,3.545,642,755
74,50969,51067,3.222,3.512,532,547
75,51087,51263,3.24,3.492222222,648,467
76,51349,51624,3.52,3.571428571,865,432
77,51673,51904,3.431666667,3.521666667,829,486
78,52008,52122,3.29,3.488333333,537,430
79,52208,52966,3.228684211,3.454473684,570,644
80,53027,53180,3.3925,3.47625,642,474
81,53250,53525,3.362142857,3.477857143,644,775
82,53611,53783,NA,3.605555556,611,556
83,53848,53983,3.558571429,3.774285714,432,332
84,54009,54182,3.604444444,3.81,411,388
85,54269,54442,3.47,3.673333333,580,613
86,54529,54659,3.587142857,3.611428571,856,570
87,54745,54882,3.61,3.671428571,836,384
88,54951,55224,3.598571429,3.665714286,767,305
89,55288,55483,3.49,3.598,841,417
90,55587,55796,3.398,3.577272727,258,309
91,55894,56120,NA,3.6575,430,580
92,56205,56357,3.4775,3.74625,337,367
93,56427,56498,3.43,NA,374,462
94,56627,56782,3.382,3.69375,340,530
95,56865,56996,3.5,3.658571429,746,588
96,57027,57221,3.469,3.631,694,613
97,57329,57603,3.622857143,3.627857143,773,321
98,57686,57823,3.495714286,3.584285714,834,624
99,57932,58280,3.502777778,3.586111111,810,638
100,58625,58854,3.656666667,3.795,824,264
101,59485,59638,3.60625,3.5675,513,162
102,59768,59920,3.65625,3.636,850,257
103,59942,60142,3.614,3.585,762,311
104,60162,60255,3.636,3.665,877,254
105,60607,60678,3.3675,3.495,638,450
106,61007,61239,3.603636364,3.6225,416,234
107,61547,61776,3.631666667,3.756363636,774,621
108,61861,61937,3.6125,3.78,761,712
109,62002,62181,3.572222222,3.635555556,817,628
110,62228,62439,3.536363636,3.58,854,558
111,62541,62679,NA,3.717142857,579,490
112,62789,62940,3.36125,NA,619,231
113,63021,63114,3.565,3.784,473,319
114,63142,63277,3.558333333,3.702857143,536,336
115,63384,63475,3.38,3.678,485,425
116,63504,63678,NA,3.657777778,583,360
117,63765,64299,3.394444444,3.645925926,581,565
118,64383,64578,3.438,3.656,574,465
119,64783,65075,3.237,3.879333333,181,509
120,65183,65378,3.582,3.801,638,563
121,65421,65518,3.506,3.75,546,632
122,65744,65814,3.6525,NA,562,301
123,65884,65995,3.54,3.818333333,490,407
124,66087,66453,3.718947368,3.913157895,719,476
125,66523,66695,3.818888889,3.91125,826,494
126,66841,67069,3.770909091,3.8625,866,376
127,67158,67289,3.604,3.734285714,417,200
128,67378,67452,3.566666667,3.7225,503,423
129,68064,68194,NA,3.845714286,360,359
130,68366,68533,3.81,3.902222222,343,193
131,68560,68754,3.648888889,3.85,386,244
132,68880,68950,3.6175,3.7975,434,305
133,70163,70852,3.483529412,3.578571429,748,534
134,70878,71433,3.369642857,3.406785714,817,438
135,71498,72247,3.358947368,3.542894737,639,558
136,72295,72666,3.356842105,3.527368421,667,610
137,72735,72827,3.524,3.558,902,546
138,72855,73031,3.495555556,3.542222222,829,584
139,73157,73248,NA,3.612,496,663
140,73515,73633,3.473333333,3.753333333,481,575
141,73839,73912,NA,3.68,667,725
142,74360,74571,NA,3.868181818,505,835
143,74719,74790,3.46,3.915,394,615
144,75217,75852,3.853125,3.970625,915,389
145,76079,77311,3.713548387,3.855,949,398
146,77633,77704,NA,3.95,550,538
147,77852,78031,NA,3.873333333,545,555
148,78052,78130,3.59,3.8325,563,573
149,78214,78487,3.53,3.755,496,607
150,78576,79465,4.021162791,4.254666667,604,563
151,79714,79786,4.29,4.37,797,550
152,79834,80069,4.39,4.499166667,898,579
153,80160,80225,4.48,4.66,557,556
154,80431,80941,4.084230769,4.250769231,717,663
155,80971,81807,3.69875,3.898095238,595,760
156,81833,81986,NA,3.77125,665,601
157,82036,82405,3.464210526,3.723157895,470,540
158,82469,82605,NA,3.635714286,659,602
159,82631,83687,3.417058824,3.649622642,595,616
160,86312,86386,4.6275,4.8675,837,550
161,86432,86985,4.165357143,4.401428571,841,495
162,87028,87784,3.643157895,3.92,678,643
163,87806,87958,3.514285714,3.805,544,636
164,88066,88143,3.5825,3.7825,517,636
165,88187,88439,3.516923077,3.822307692,619,637
166,89389,89781,3.693684211,3.993,502,477
167,89851,90143,3.721333333,3.855333333,689,624
168,90208,90422,3.731818182,3.827272727,779,623
169,90451,90702,3.663846154,3.826923077,722,736
170,90733,91163,NA,3.81,860,713
171,91184,91315,3.722857143,3.834285714,745,696
172,91485,91702,3.616363636,3.738181818,547,717
173,91764,91919,NA,3.83375,615,728
174,92303,92442,3.878571429,3.967142857,718,981
175,92623,92782,4.145,4.1925,763,688
176,92824,92902,4.115,4.2325,740,644
177,92931,93180,3.964615385,4.16,656,675
178,93389,93718,3.709411765,3.865882353,568,613
179,93745,93938,3.623,3.785,571,624
180,94403,94661,3.83,3.803333333,994,534
181,94786,94918,4.032857143,4.073333333,1091,578
182,94968,95120,4.075,4.02625,1146,522
183,95446,95698,4.046153846,4.19,886,488
184,95729,96296,4.062068966,4.122758621,861,404
185,96344,96536,3.965,4.002,896,324
186,96786,96976,3.853,NA,1652,226
187,97443,97838,3.692,3.9075,697,706
188,97923,98238,3.643125,3.855,643,583
189,98384,99197,3.618780488,3.720731707,772,551
190,99640,99972,3.741176471,4.032352941,495,588
191,100162,100231,3.94,3.9775,1063,641
192,100819,100916,3.94,3.87,1371,548
193,100958,101033,3.9425,3.91,1363,508
194,101447,101736,3.858,3.923333333,775,484
195,102060,102175,3.891666667,3.573333333,1305,392
196,102561,104192,3.754268293,3.809878049,834,419
197,104220,105489,3.857460317,3.86640625,745,364
198,106636,106726,3.78,3.892,837,440
199,107016,107267,3.731538462,3.793846154,1229,552
200,107476,107746,3.561428571,3.674285714,863,378
201,107817,107929,3.376666667,3.58,694,614
202,108078,108808,3.390810811,3.602972973,501,478
203,109413,109512,3.868,3.93,920,641
204,109619,109911,3.957692308,4.116,796,475
205,110237,110591,3.663333333,3.775555556,766,593
206,110676,110966,3.83,3.864,969,590
207,111014,111286,3.880714286,4.022142857,857,588
208,111314,111568,3.892307692,4.029230769,836,585
209,111598,111848,3.892307692,4.008461538,801,557
210,111877,112206,3.887058824,3.975882353,866,552
211,112256,112445,3.926,4.059,922,590
212,112474,113005,4.083076923,4.22,953,590
213,113051,113290,4.073333333,4.193333333,882,711
214,113317,113968,4.103939394,4.206969697,917,712
215,114051,114226,3.988888889,4.178888889,706,498
216,114291,114509,3.950909091,4.269090909,593,643
217,115932,116043,3.915,3.933333333,834,534
218,116092,116242,3.74875,3.7675,911,535
219,116312,116482,3.65,3.657777778,808,382
220,116572,116708,3.445714286,3.608571429,673,604
221,116772,116981,3.393636364,3.610909091,539,510
222,117011,117222,3.13,3.612727273,613,551
223,117429,117505,3.65,3.6775,841,447
224,117548,117624,3.655,3.705,868,522
225,118031,118227,3.75,3.793,1198,658
226,118352,118784,3.830909091,3.894545455,1111,764
227,119031,119243,3.965,4.121818182,1036,592
228,119291,119522,4.126666667,4.311666667,917,547
229,119592,119781,4.175,4.384,1040,586
230,119931,120041,4.16,4.241666667,1101,631
231,120090,120506,4.096190476,4.153809524,1033,641
232,120547,120786,4.110833333,4.18,1112,660
233,120809,120896,4.08,4.172,1136,650
234,120966,121741,4.234473684,4.386410256,1241,662
235,121869,121982,4.408333333,4.266666667,1282,106
236,122092,122202,4.465,4.451666667,1130,108
237,124128,124379,4.38,4.374615385,1255,692
238,124408,124722,4.50375,4.692,1302,647
239,125490,125682,4.145555556,4.186,782,565
240,125792,126002,3.849090909,3.871818182,807,568
241,126031,126101,3.645,3.673333333,769,612
242,126190,126260,3.425,3.59,660,719
243,126388,126539,3.51125,3.50625,841,499
244,126586,126799,3.483636364,3.493636364,861,547
245,126907,127161,3.301538462,3.413846154,721,716
246,127251,128041,3.5195,3.54225,835,532
