Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
28,0,97,4.196,4.024,1007,574
29,161,249,4.25,4.132,1021,542
30,301,376,4.2325,4.0025,1066,505
31,398,673,4.232857143,4.172142857,1024,515
32,721,1331,4.299032258,4.261935484,972,590
33,1399,1748,4.282777778,4.218333333,1002,652
34,1823,1894,4.29,4.235,979,613
35,1920,2116,4.311,4.197,1003,563
36,2178,2695,4.368076923,4.276923077,970,533
37,2743,2894,4.335,4.0475,1078,552
38,2925,3271,4.285,4.006666667,1105,559
39,3299,3452,4.24375,3.9475,1054,578
40,3481,3834,4.21,3.882222222,1085,580
41,3919,4369,4.200434783,4.008695652,978,600
42,4455,4791,4.272941176,4.000588235,1122,606
43,4858,5053,4.217,4.243,947,608
44,5121,5248,4.201428571,4.042857143,1106,652
45,5277,5493,4.161818182,3.916363636,1079,606
46,5558,6847,4.176307692,4.101774194,944,540
47,6941,7210,4.251428571,4.126428571,918,374
48,8214,8484,4.242857143,4.230714286,862,639
49,8560,8787,4.313333333,4.3225,1042,630
50,8874,9089,4.257272727,4.067272727,903,340
51,9153,9432,3.988571429,NA,1080,326
52,9454,9888,3.552272727,3.461363636,996,327
53,9955,10166,3.548181818,3.449,898,210
54,10194,10387,3.308,3.212,892,295
55,10493,11247,2.993157895,2.914473684,558,267
56,11353,11489,3.005714286,2.984285714,1071,162
57,11612,11687,3.205,3.1375,913,219
58,12771,12966,3.764,3.618,1040,706
59,13177,13245,4.05,3.9025,1061,583
60,13496,13582,3.994,3.692,1266,647
61,13630,13707,4.0325,4.035,1321,595
62,13732,13807,4.0975,3.79,1286,574
63,14237,14346,4.066666667,3.83,933,577
64,14671,14942,4.357142857,4.14,965,259
65,15078,15146,4.3725,NA,1112,353
66,15551,15728,4.155555556,4.074444444,1130,333
67,15969,16327,3.698888889,3.648888889,1198,513
68,16511,16588,3.88,3.71,1255,523
69,16733,16964,4.01,3.96,1069,415
70,17153,17383,4.168333333,4.098333333,1056,472
71,17732,17981,4.093846154,NA,1188,465
72,18010,18306,4.089333333,3.956666667,1206,404
73,18408,18483,4.1475,3.96,1183,287
74,18529,18686,4.11625,4.0625,1048,301
75,18928,19085,4.158333333,4.0575,817,467
76,19167,19661,4.2492,4.276,881,494
77,19729,19826,NA,4.25,789,568
78,19854,19963,4.198333333,4.173333333,818,558
79,20048,20125,4.225,4.1675,928,525
80,20433,20543,4.208333333,4.07,1118,544
81,20630,20761,4.225714286,4.168333333,1035,510
82,20946,21022,4.275,NA,946,1017
83,21047,21281,4.230833333,4.3075,1066,1061
84,21847,22000,4.3225,4.22,858,342
85,22408,22739,4.540588235,4.450588235,1046,775
86,23747,23915,4.348888889,4.59625,246,182
87,24206,24341,4.444285714,4.724285714,208,315
88,25823,25958,4.357142857,4.258571429,1025,363
89,26506,26618,4.385,4.456,1103,326
90,26647,26879,4.3525,4.397272727,1071,354
91,26966,27238,4.26,4.225714286,859,660
92,27403,27500,4.298,4.168,537,616
93,27529,27597,NA,4.145,590,617
94,27703,27838,4.03,4.111428571,471,692
95,27983,28079,NA,4.084,699,794
96,28286,28560,3.951428571,3.872142857,606,736
97,28602,28697,NA,3.87,696,809
98,28770,28857,NA,3.86,681,800
99,28963,29277,3.745,3.9125,591,773
100,29383,29916,4.084814815,4.034074074,515,787
101,29948,30018,NA,4.01,752,823
102,30045,30358,NA,4.076875,802,773
103,30380,30816,4.078181818,4.139545455,711,665
104,30860,31016,3.99625,4.14375,658,706
105,31282,31574,3.808,4.19,15,434
106,32660,33096,3.17,3.978181818,121,663
107,33182,33332,NA,4.01375,68,586
108,33380,33458,NA,3.645,205,604
109,33599,33674,NA,3.6875,188,589
110,33741,34132,3.80875,3.745,171,564
111,34259,34415,3.57625,3.91125,178,531
112,34503,34593,NA,3.804,165,691
113,35100,36156,3.842641509,4.199677419,799,628
114,36223,36715,4.128,4.2716,219,528
115,36760,36890,3.904285714,4.24,133,555
116,38099,38229,3.711428571,3.54,941,384
117,38258,38355,3.638,3.45,934,330
118,38818,38895,3.9925,3.765,1060,401
119,38938,39212,3.968571429,3.777142857,951,386
120,39336,39451,3.832,3.548333333,868,250
121,39480,39567,3.836,3.582,873,291
122,39682,39770,3.974,3.578,1015,61
123,39855,39933,3.8425,3.45,1020,70
124,40000,40089,3.686,3.368,1030,75
125,40154,40368,3.627272727,3.317272727,1066,116
126,40396,40608,3.608181818,3.377272727,1035,180
127,40676,40854,3.407777778,3.238888889,898,309
128,40918,42592,3.437142857,3.315357143,919,440
129,42660,42969,3.49875,3.346875,953,420
130,43033,43268,3.535833333,3.436666667,1055,423
131,43397,43731,3.727647059,3.477058824,1266,147
132,43797,43927,3.667142857,NA,1334,156
133,43960,44446,3.6972,NA,1387,155
134,44494,45289,3.5995,NA,1294,170
135,45572,45747,3.772222222,3.648888889,1059,222
136,45773,45868,3.836,3.68,1111,230
137,45936,46191,3.808461538,3.524615385,1181,203
138,46392,46530,3.61,3.225714286,881,178
139,46614,46689,3.49,3.34,765,236
140,46711,47121,3.472380952,3.342857143,860,240
141,47150,47546,3.532,3.452,847,262
142,47632,47765,3.507142857,3.344285714,903,320
143,47812,48468,3.294242424,3.219090909,830,312
144,48554,48669,3.391666667,3.371666667,1087,275
145,48773,49049,3.402857143,3.243333333,1106,291
146,49070,49165,3.286,3.19,1078,302
147,49250,49463,3.318181818,3.224545455,832,406
148,49490,49645,3.40125,3.27625,884,415
149,50416,50485,3.5825,3.6475,513,778
150,50514,50624,3.666666667,3.586666667,475,765
151,50931,51085,3.55,3.605,378,791
152,51209,51882,3.434615385,3.639705882,272,883
153,52253,52320,3.7275,3.6075,1116,348
154,52429,53143,3.446111111,3.266333333,1072,332
155,53309,54318,3.294313725,3.135490196,1352,237
156,54391,54626,3.4225,3.245,1177,329
157,54886,55681,3.76325,3.614,1024,334
158,55885,56542,3.601212121,3.35,1167,316
159,56571,56902,3.598235294,3.451875,1216,371
160,57046,57281,3.768333333,3.655833333,667,436
161,57609,58100,3.4592,3.3352,1320,147
162,58186,58384,3.075,2.968,1015,371
163,58426,58542,3.123333333,3,967,413
164,58868,59043,3.224444444,NA,1252,187
165,59072,59202,3.212857143,3.19,1404,105
166,59304,60059,3.501842105,3.386333333,1184,480
167,60086,60237,3.55,3.4825,1126,452
168,60290,60719,3.489090909,3.404545455,1155,504
169,60765,60922,3.4975,3.39125,1150,472
170,60943,61221,3.6,NA,1185,436
171,61446,61720,3.561428571,3.503571429,1005,426
172,61865,62039,3.78,3.727777778,1056,521
173,62068,62861,3.55,3.478108108,1022,472
174,63401,64133,3.570540541,3.43,1107,422
175,64161,64617,3.348695652,3.294444444,1093,405
176,64701,64779,3.5825,3.5,906,441
177,64963,65856,3.727111111,3.682857143,1037,422
178,65881,65978,3.586,3.53,1055,499
179,66006,66113,3.541666667,3.463333333,1037,465
180,66181,66336,3.64375,3.47375,955,439
181,66684,66858,3.851111111,3.874444444,340,641
182,66923,67012,NA,3.956,439,615
183,67784,67996,3.826363636,3.691111111,892,336
184,68041,68191,3.81,3.62,957,252
185,68219,69193,3.412040816,3.23,1009,211
186,69221,70097,3.612790698,3.43,1029,215
187,70226,70410,3.857,3.629,1117,76
188,70517,70854,3.95,3.659411765,1102,140
189,70897,71631,3.858648649,3.635405405,1048,196
190,71657,72495,3.806190476,3.60952381,1120,210
191,72580,72714,3.797142857,3.588571429,1169,202
192,72876,73009,3.935714286,3.717142857,1186,101
193,73496,73572,4.0125,NA,1097,295
194,73837,73967,3.97,3.804285714,973,409
195,74035,74374,3.63,3.464,1129,446
196,74438,74687,3.463846154,3.335,1000,389
197,75895,76106,3.519090909,3.345454545,998,336
198,76135,77051,3.200869565,3.072826087,926,405
199,77155,77272,3.418333333,3.313333333,942,460
