Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
167,0,467,3.735,3.61125,1231,402
168,550,1488,3.890212766,3.824893617,1125,292
169,1517,1723,3.985454545,3.99,1092,306
170,1809,2089,3.873571429,3.864285714,798,298
171,2131,2388,3.727692308,3.690769231,714,284
172,2452,3008,3.700357143,3.66,839,345
173,3051,4085,3.695384615,3.620576923,770,343
174,4211,6838,3.924924242,3.897045455,545,372
175,6933,7118,4.104,3.996,910,273
176,7387,7563,3.987777778,3.693333333,1291,147
177,7592,7786,3.963,3.715,1366,270
178,7830,7921,3.89,3.79,1419,241
179,7949,8305,3.994444444,3.851111111,1381,257
180,8326,8401,3.975,3.753333333,1323,174
181,8487,8599,3.9,3.775,1352,160
182,8706,8841,3.795714286,3.848571429,853,251
183,8889,10304,3.749295775,3.741690141,770,249
184,10371,10719,3.713333333,3.620555556,955,265
185,10748,10961,3.998181818,3.955454545,918,269
186,11009,11501,4.0328,3.9172,979,268
187,11710,12458,4.185,4.115789474,991,286
188,12505,12901,4.2645,4.122105263,1096,288
189,12969,13056,4.4,4.288,1096,291
190,13249,13336,4.516,NA,910,269
191,13365,13481,4.451666667,4.303333333,944,228
192,13507,13700,4.286,4.198,940,215
193,13765,13917,3.94,3.925,840,314
194,14004,14217,3.73,3.625454545,1026,310
195,14245,14602,3.691111111,3.662222222,1066,304
196,14688,15034,3.872222222,3.894444444,954,207
197,15102,16379,4.0559375,4.131875,917,416
198,16504,16736,4.251666667,4.35,923,394
199,16765,17458,4.385714286,4.485428571,949,416
200,17507,17614,4.4,4.423333333,988,376
201,17661,17880,4.305454545,4.314545455,1084,401
202,17965,18179,4.015454545,4.039090909,1073,534
203,18241,18554,4.09375,4.129375,876,429
204,18641,18819,4.135555556,4.121111111,700,344
205,18902,19019,4.085,4.018333333,932,321
206,19086,19174,4.152,4.034,693,420
207,19260,20036,4.319487179,4.21,929,281
208,20123,20414,4.218666667,4.151333333,792,399
209,20481,20758,4.298571429,4.232142857,980,316
210,20820,21157,4.433529412,4.491764706,995,481
211,21224,21474,4.594615385,4.559230769,966,320
212,21539,22074,4.414074074,4.328518519,992,251
213,22160,22890,4.133243243,4.111081081,848,294
214,23239,23435,4.07,4.017,1030,576
215,23481,23571,4.232,4.168,958,536
216,23600,23756,4.30875,4.30875,968,539
217,23782,24115,4.302941176,4.3425,939,562
218,24221,24395,4.33,4.447777778,1014,548
219,24437,24609,4.272222222,4.42,962,567
220,24684,25135,4.426086957,4.418695652,862,574
221,25221,25310,4.448,4.516,894,373
222,25385,25568,4.49,4.534,944,291
223,25683,25934,4.411538462,4.531538462,967,549
224,25975,26414,4.461363636,4.59,1032,576
225,26478,26671,4.32,4.41875,886,620
226,26778,26950,4.315555556,4.346666667,882,613
227,27036,27531,4.4456,4.3816,866,328
228,27616,27714,4.33,4.422,980,573
229,27756,28052,4.337333333,4.3,996,526
230,28119,28350,4.475833333,4.431666667,886,516
231,28398,29187,4.603,4.573783784,985,514
232,29255,29468,4.473636364,4.481818182,889,502
233,29555,29671,4.441666667,4.33,936,259
234,29720,29971,4.477692308,4.483076923,884,266
235,30039,30367,4.26,4.231176471,790,289
236,30435,30686,4.191538462,4.161538462,1009,338
237,30937,31131,3.99,4.368,549,892
238,31595,31672,4.395,4.38,1070,421
239,32052,32149,4.372,4.316,853,354
240,32173,32689,4.290384615,4.311923077,832,382
241,32753,32946,4.16,4.197,1039,342
242,33039,33365,4.214117647,4.394375,1019,583
243,33413,33670,4.338461538,4.572307692,920,585
244,33713,34109,4.4785,4.694444444,1012,578
245,34271,34448,4.514444444,4.647777778,973,630
246,34535,34907,4.423684211,4.593157895,1022,598
247,34959,35068,4.37,4.53,950,600
248,35094,35250,4.3575,4.49,973,602
249,35337,35405,4.455,4.535,896,348
250,35434,35668,4.448333333,4.53,861,352
251,35713,36088,4.244210526,4.267894737,975,372
252,36131,36249,4.123333333,4.125,873,379
253,36290,36785,4.0764,4.0856,756,390
254,36870,36988,4.05,4.126666667,967,627
255,37010,37587,4.110689655,4.282413793,998,629
256,37654,37722,4.1,4.245,883,619
257,38009,38302,4.219333333,4.226,873,357
258,38370,39167,4.3835,4.39625,907,393
259,39252,39503,4.236153846,4.333076923,908,602
260,39673,40082,4.40952381,4.486190476,965,494
261,40313,42164,4.090752688,4.122795699,954,486
262,42229,43125,4.257777778,4.245333333,835,446
263,43452,44078,4.3853125,4.334193548,845,232
264,44193,44560,4.087894737,4.098947368,852,474
265,44628,45040,4.302380952,4.331904762,969,445
266,45266,45461,4.388,4.393,866,225
267,45546,45644,4.292,4.29,839,390
268,45664,46215,4.301428571,4.275714286,857,442
269,46311,46677,4.397894737,4.38,883,249
270,46869,47138,4.235,4.257142857,1001,484
271,47225,47777,4.37,4.235714286,888,253
272,47804,47981,4.364444444,4.23,897,264
273,48024,50596,4.698294574,4.648139535,992,322
274,50644,50914,4.637142857,4.728571429,1047,401
275,51041,51176,4.632857143,4.797142857,1059,448
276,51244,51341,4.666,4.722,1060,369
277,51364,51477,4.73,4.881666667,1066,441
278,51504,51934,4.908636364,4.962272727,1042,339
279,52084,52359,5.032857143,4.858,1126,279
280,52386,52558,5.042222222,4.987777778,1140,227
281,52828,52915,4.772,4.946,1049,565
282,53143,53219,4.63,4.9675,1031,597
283,53386,53579,4.569,4.682222222,886,557
284,53643,53933,4.624666667,4.688666667,1050,496
