"jointType","x","y","z","time"
0,-0.0110134427,-0.355752438,2.1910255,1
1,-0.00351366634,-0.0411703065,2.16916,1
2,0.00237641786,0.2644779,2.13409138,1
3,-0.003396028,0.4166436,2.12367463,1
4,-0.1547157,0.1563196,2.166661,1
5,-0.185551047,-0.10926751,2.18186,1
6,-0.190433353,-0.3252064,2.12156,1
7,-0.176978648,-0.3544506,2.11444783,1
8,0.109132543,0.17738913,2.04887319,1
9,0.124818325,0.0738004744,1.83573937,1
10,0.08162623,-0.0375063159,1.637557,1
11,0.07355183,-0.07477556,1.57776415,1
12,-0.07476693,-0.3508244,2.16996884,1
13,-0.0415646955,-0.7375682,2.09152913,1
14,-0.0646764,-1.02446151,2.016922,1
15,-0.09494156,-1.03384411,1.91410065,1
16,0.0532505848,-0.3481493,2.13535142,1
17,0.06572282,-0.7377687,2.08461332,1
18,0.0817454,-1.03283417,2.0088706,1
19,0.05269103,-1.04378271,1.90526819,1
20,0.0009982008,0.1893963,2.14531469,1
21,-0.177105263,-0.42893216,2.09235787,1
22,-0.137479872,-0.356003165,2.09333372,1
23,0.062441092,-0.109135091,1.476727,1
24,0.0276052859,-0.128097549,1.49855566,1
0,-0.020292284,-0.339239776,2.1545372,2
1,-0.0114577711,-0.0190474782,2.17312074,2
2,-0.00316862157,0.2966076,2.18181372,2
3,-0.0177440327,0.44383505,2.20667529,2
4,-0.164618522,0.162753552,2.18185234,2
5,-0.188806564,-0.09525579,2.146376,2
6,-0.197776258,-0.3003941,2.05159831,2
7,-0.187194109,-0.345525652,2.02694535,2
8,0.101570539,0.19861874,2.07877684,2
9,0.1411829,0.0966620147,1.8196702,2
10,0.0834987462,0.00507186,1.6149447,2
11,0.07239579,-0.007870325,1.52335989,2
12,-0.0843452,-0.336897761,2.132567,2
13,-0.0409801453,-0.7227907,2.071719,2
14,-0.06592381,-1.02555215,2.01398563,2
15,-0.05603772,-1.07498562,1.93238628,2
16,0.044526238,-0.32945478,2.09970021,2
17,0.06438221,-0.7318837,2.06610775,2
18,0.0801286548,-1.03163242,2.00845456,2
19,0.0530441,-1.04048824,1.90339589,2
20,-0.00531219644,0.219386518,2.18138862,2
21,-0.18301551,-0.409002244,1.99418283,2
22,-0.148112938,-0.331132829,2.04325,2
23,0.0610458478,-0.0218065865,1.49854708,2
24,0.02879501,-0.01926496,1.51381826,2
0,-0.0182829555,-0.337637037,2.13487,3
1,-0.00859907549,-0.0139769316,2.181308,3
2,0.00225481461,0.299404979,2.21442962,3
3,-0.006429793,0.442795634,2.25152087,3
4,-0.148843855,0.163258821,2.185487,3
5,-0.185411647,-0.0919528,2.1505487,3
6,-0.191183135,-0.2975165,2.05642271,3
7,-0.178906038,-0.343643337,2.04055715,3
8,0.100223407,0.211999744,2.099869,3
9,0.14529264,0.146484867,1.84886789,3
10,0.108384751,-0.015473647,1.68923783,3
11,0.08533011,0.07689093,1.55310726,3
12,-0.08180483,-0.337254733,2.11690521,3
13,-0.0406648442,-0.725263536,2.056991,3
14,-0.06697381,-1.02549219,2.01076126,3
15,-0.06354702,-1.0761869,1.93104041,3
16,0.0459799357,-0.325864851,2.07577372,3
17,0.06644508,-0.7310622,2.05074072,3
18,0.0797448456,-1.02850378,2.00754642,3
19,0.0533556044,-1.03795791,1.90237617,3
20,-0.000410572364,0.222539082,2.20847654,3
21,-0.171638116,-0.4162898,2.01016927,3
22,-0.138752252,-0.339914918,2.017144,3
23,0.0370989367,0.07650605,1.49750471,3
24,0.121806324,0.0919811,1.5094893,3
0,-0.0145291612,-0.3316926,2.12588024,4
1,-0.00663761841,-0.007421851,2.180223,4
2,0.00190520717,0.308108956,2.219858,4
3,-0.0114060827,0.440715343,2.2593832,4
4,-0.145584971,0.1657025,2.18207765,4
5,-0.188489959,-0.09482505,2.14315653,4
6,-0.18700543,-0.327449024,2.04024553,4
7,-0.1735911,-0.3647878,2.03457737,4
8,0.09734013,0.203478813,2.10156727,4
9,0.190727025,0.116835617,1.81920588,4
10,0.123665705,0.183454618,1.607797,4
11,0.108785279,0.222523525,1.55388117,4
12,-0.07946357,-0.3322926,2.108354,4
13,-0.0422222354,-0.719679,2.05311084,4
14,-0.0674923062,-1.02493143,2.01020145,4
15,-0.0625211746,-1.07468736,1.92995965,4
16,0.0508280955,-0.318930954,2.0662365,4
17,0.06459725,-0.722694159,2.04599,4
18,0.07945711,-1.02849543,2.005931,4
19,0.0544308648,-1.03846514,1.90054357,4
20,-0.000202549563,0.230564192,2.21236348,4
21,-0.176004335,-0.417313933,2.00642753,4
22,-0.134431809,-0.351160526,2.01231241,4
23,0.107365668,0.2715183,1.48561811,4
24,0.1545784,0.224222526,1.51853323,4
0,-0.024663819,-0.3504754,2.136304,5
1,-0.0123766717,-0.00304388325,2.17739058,5
2,-0.000265735231,0.331126869,2.20381927,5
3,-0.0182877574,0.461810619,2.2561698,5
4,-0.150005639,0.16288127,2.20412683,5
5,-0.192255035,-0.10045068,2.168985,5
6,-0.202016771,-0.308665246,2.08244824,5
7,-0.185518354,-0.36971283,2.06589532,5
8,0.116805464,0.232793674,2.09803081,5
9,0.0988415852,0.116446912,1.80541039,5
10,-0.0175900161,0.146036133,1.607778,5
11,-0.047688242,0.1712253,1.5602963,5
12,-0.08647712,-0.3520302,2.121457,5
13,-0.0427843481,-0.7289957,2.056619,5
14,-0.06750312,-1.0272367,2.010131,5
15,-0.0658032149,-1.07360578,1.930279,5
16,0.0383983031,-0.336978823,2.076157,5
17,0.0604963042,-0.7363147,2.05088568,5
18,0.07908278,-1.03093588,2.0070703,5
19,0.04980813,-1.04128706,1.90342629,5
20,-0.00322385645,0.249194384,2.19966555,5
21,-0.186551288,-0.42266348,2.03661,5
22,-0.1523524,-0.358249515,2.04041529,5
23,-0.06984449,0.2098955,1.49500978,5
24,-0.00706648454,0.178256363,1.51137507,5
0,-0.0305335037,-0.339533538,2.140936,6
1,-0.0224909522,-0.01585145,2.18897486,6
2,-0.0155088,0.2968178,2.22318268,6
3,-0.025549598,0.4389082,2.26077628,6
4,-0.160262853,0.163960427,2.209073,6
5,-0.2013807,-0.09973956,2.16443086,6
6,-0.205280215,-0.3059367,2.07192,6
7,-0.1944969,-0.3501875,2.05692315,6
8,0.112511851,0.227398157,2.11260152,6
9,0.144025669,0.06840377,1.84252965,6
10,0.08376482,0.09488562,1.62016714,6
11,0.08787131,0.129693478,1.58739746,6
12,-0.0928802341,-0.3382818,2.12649584,6
13,-0.0450230576,-0.7272288,2.05969715,6
14,-0.06919816,-1.02961051,2.00921679,6
15,-0.0631530359,-1.07437587,1.93238759,6
16,0.0327800848,-0.327444255,2.07842088,6
17,0.05839502,-0.736339748,2.05149341,6
18,0.07994121,-1.028849,2.00574017,6
19,0.0537116155,-1.038228,1.90072477,6
20,-0.017227646,0.220396414,2.21709967,6
21,-0.189751446,-0.420593858,2.02893972,6
22,-0.154228881,-0.346175,2.030048,6
23,0.0791698545,0.178614631,1.52041566,6
24,0.129978254,0.120207585,1.55186689,6
0,-0.00560047524,-0.333005071,2.12725925,7
1,-0.00329552637,-0.0103922635,2.18472028,7
2,-0.000943503343,0.3002768,2.22653151,7
3,-0.00709408661,0.444931418,2.26226044,7
4,-0.154363349,0.166915148,2.18769526,7
5,-0.193083614,-0.085386686,2.113016,7
6,-0.18542327,-0.292461067,2.02256584,7
7,-0.178389549,-0.345019549,2.02566433,7
8,0.137085035,0.17557393,2.13183928,7
9,0.16720745,-0.0267048962,2.021558,7
10,0.168450415,-0.131621927,1.81549644,7
11,0.163150385,-0.173019662,1.72177243,7
12,-0.07289553,-0.330974519,2.0995512,7
13,-0.0466319658,-0.723518252,2.05891943,7
14,-0.0678648651,-1.02710688,2.01020527,7
15,-0.06550829,-1.07362437,1.93155,7
16,0.0619434379,-0.322951227,2.07806873,7
17,0.0624851175,-0.73092,2.051787,7
18,0.07987011,-1.02996635,2.006299,7
19,0.06673586,-1.037762,1.89758623,7
20,-0.00184862386,0.223954216,2.21874857,7
21,-0.1788627,-0.415355951,2.00216722,7
22,-0.137105629,-0.353978544,2.016,7
23,0.1576919,-0.203135118,1.66808069,7
24,0.187101364,-0.193474784,1.6870625,7
0,-0.00151581131,-0.3357309,2.11812782,8
1,-0.0007748445,-0.0110036619,2.17280936,8
2,0.00317264046,0.3021695,2.21245718,8
3,-0.00194907712,0.4493029,2.24639654,8
4,-0.152014375,0.167138621,2.17432284,8
5,-0.189657688,-0.083432816,2.12133169,8
6,-0.174872443,-0.281250238,2.01077628,8
7,-0.154287934,-0.3344026,1.9947139,8
8,0.145637825,0.173821583,2.132636,8
9,0.180743247,-0.07398651,2.06063175,8
10,0.178240553,-0.2809845,1.953064,8
11,0.1758945,-0.35217905,1.934278,8
12,-0.07027395,-0.331361622,2.08527255,8
13,-0.0451748446,-0.720889,2.0566628,8
14,-0.06745898,-1.02337682,2.01176858,8
15,-0.06306623,-1.07383573,1.93174851,8
16,0.06753538,-0.327971816,2.07402325,8
17,0.06697067,-0.7268046,2.05164838,8
18,0.07924384,-1.02665,2.006864,8
19,0.0691323951,-1.0344075,1.8976903,8
20,0.001589812,0.2253733,2.20520544,8
21,-0.142291874,-0.399019569,1.96497715,8
22,-0.126122326,-0.343706816,1.96228492,8
23,0.167370081,-0.419211268,1.91317332,8
24,0.19855471,-0.35952276,1.90633309,8
0,0.00353204436,-0.333115876,2.12816048,9
1,0.00704166247,-0.007399814,2.1814034,9
2,0.01056454,0.307227552,2.22001171,9
3,0.0124921044,0.4521327,2.26214051,9
4,-0.14982295,0.174456745,2.17580652,9
5,-0.254918247,-0.0148999142,2.10124,9
6,-0.26729396,-0.0351833366,1.87057054,9
7,-0.238938645,-0.06527883,1.80050969,9
8,0.1526429,0.171843886,2.143216,9
9,0.245032683,-0.0349781737,2.08534956,9
10,0.203240335,-0.09035069,1.86419272,9
11,0.182117,-0.09714,1.79225779,9
12,-0.06586534,-0.3283564,2.092818,9
13,-0.0453563,-0.720115066,2.05937934,9
14,-0.0679489449,-1.02355981,2.01216149,9
15,-0.0621325038,-1.0740459,1.93274379,9
16,0.07284792,-0.3259394,2.0870502,9
17,0.06788655,-0.7265031,2.05260968,9
18,0.07830689,-1.02928734,2.00862551,9
19,0.084115386,-1.07860744,1.93405426,9
20,0.009672021,0.2300091,2.21287513,9
21,-0.2159385,-0.08185703,1.7522707,9
22,-0.2066358,-0.0477059372,1.793706,9
23,0.162360281,-0.117879,1.74851251,9
24,0.186742753,-0.126523852,1.76899993,9
0,0.004047956,-0.335012674,2.132862,10
1,0.007729676,-0.011013587,2.18492818,10
2,0.0110380566,0.301644146,2.22163343,10
3,0.008647706,0.4471176,2.245671,10
4,-0.115550943,0.174354911,2.15691876,10
5,-0.216743246,-0.0132794529,2.07043171,10
6,-0.159468457,0.179573238,1.96407926,10
7,-0.144017041,0.219127953,1.96283031,10
8,0.128173426,0.1807967,2.12554836,10
9,0.215858385,-0.07843986,2.08197474,10
10,0.159912765,0.123539016,1.9615562,10
11,0.135775924,0.187709391,1.957105,10
12,-0.066403985,-0.330313027,2.10081244,10
13,-0.0462987423,-0.716050744,2.06135678,10
14,-0.0682377145,-1.02444649,2.011813,10
15,-0.07156864,-1.0714277,1.93029928,10
16,0.07435104,-0.32761687,2.08817315,10
