"jointType","x","y","z","time"
0,-0.0613673553,-0.497233242,1.89782071,1
1,-0.0617790334,-0.217138365,1.96806145,1
2,-0.0619330443,0.054906562,2.02533841,1
3,-0.0557311624,0.178346127,2.04329848,1
4,-0.206779465,-0.06696355,1.95705056,1
5,-0.230230972,-0.281912953,1.90037,1
6,-0.215990275,-0.454108864,1.799403,1
7,-0.204658777,-0.5108888,1.76746416,1
8,0.0815552846,-0.0594796725,1.97318,1
9,0.114051238,-0.259655684,1.91636908,1
10,0.09767771,-0.172654629,1.71926129,1
11,0.107452951,-0.174103245,1.70468593,1
12,-0.11469689,-0.489889681,1.86460042,1
13,-0.109092645,-0.7878275,1.83273518,1
14,-0.123808175,-1.20490944,1.78727627,1
15,-0.120888717,-1.2173419,1.66039109,1
16,-0.006012901,-0.4879501,1.86755681,1
17,-0.0125296144,-0.785851955,1.83630872,1
18,0.005178383,-1.2039609,1.82162166,1
19,0.0158121474,-1.22512174,1.69802845,1
20,-0.0617948137,-0.0122595914,2.013553,1
21,-0.194736078,-0.558906436,1.74657655,1
22,-0.236506611,-0.521840453,1.76771426,1
23,0.116573364,-0.151871741,1.63849306,1
24,0.062783055,-0.169017687,1.69638479,1
0,-0.0591108464,-0.495927125,1.89115059,2
1,-0.0595838577,-0.216706425,1.96835566,2
2,-0.05894369,0.0552059822,2.034242,2
3,-0.05378764,0.1796656,2.05623531,2
4,-0.20589374,-0.06762861,1.96187723,2
5,-0.226723865,-0.2788631,1.89909756,2
6,-0.212557435,-0.446258873,1.78981936,2
7,-0.20369409,-0.5041663,1.75855422,2
8,0.08169269,-0.0576096177,1.97132647,2
9,0.134899452,-0.274561,1.95220745,2
10,0.151602611,-0.184002057,1.76711655,2
11,0.14917396,-0.141553819,1.71054816,2
12,-0.112270758,-0.489000916,1.85853362,2
13,-0.09385979,-0.7928283,1.82339215,2
14,-0.141962126,-1.19975972,1.7930187,2
15,-0.148110524,-1.21808517,1.6686945,2
16,-0.00391521771,-0.4861543,1.8599515,2
17,-0.0150323,-0.7839513,1.82843053,2
18,0.01477599,-1.2011317,1.82760179,2
19,0.0272895657,-1.22744441,1.70757234,2
20,-0.05904737,-0.0117243826,2.01969,2
21,-0.195650473,-0.5509761,1.73386347,2
22,-0.235122144,-0.514097,1.75607324,2
23,0.157228678,-0.108001933,1.645332,2
24,0.104437105,-0.1388112,1.7010715,2
0,-0.06190878,-0.496727556,1.89418411,3
1,-0.06471187,-0.216994554,1.97409022,3
2,-0.06743152,0.0550533,2.04089212,3
3,-0.06659135,0.18007268,2.064926,3
4,-0.213529631,-0.0699712038,1.97430027,3
5,-0.2317967,-0.284043,1.9109689,3
6,-0.214723378,-0.46968326,1.79968727,3
7,-0.204844922,-0.5140497,1.77674079,3
8,0.07787071,-0.05955638,1.97319472,3
9,0.184857547,-0.2014156,1.88798308,3
10,0.203629836,-0.06593769,1.74512875,3
11,0.206071913,-0.0205711089,1.7196306,3
12,-0.115277737,-0.489386231,1.86188853,3
13,-0.0946336538,-0.789443135,1.823966,3
14,-0.146018535,-1.1993736,1.79115915,3
15,-0.156350583,-1.21640861,1.66682851,3
16,-0.006505786,-0.4874544,1.863161,3
17,-0.0144691281,-0.785412967,1.82770765,3
18,0.00356709724,-1.20330334,1.82505023,3
19,0.008667235,-1.23060393,1.705222,3
20,-0.0667951,-0.0119942734,2.026435,3
21,-0.196735919,-0.561975956,1.751873,3
22,-0.238816768,-0.5199128,1.776569,3
23,0.223658651,0.0280479789,1.67807162,3
24,0.152894542,-0.018089423,1.71200025,3
0,-0.06441709,-0.4962452,1.88492489,4
1,-0.0662413761,-0.215911821,1.96533239,4
2,-0.06771326,0.056497477,2.032007,4
3,-0.062816225,0.181903452,2.05844831,4
4,-0.2100158,-0.0663419738,1.95379281,4
5,-0.234288767,-0.2797296,1.89141762,4
6,-0.218024537,-0.4512241,1.78378844,4
7,-0.209839627,-0.506424844,1.75270176,4
8,0.0811311752,-0.0554523468,1.97165751,4
9,0.133231252,-0.232848138,1.88577378,4
10,0.05694926,-0.117044866,1.74029934,4
11,0.0569388643,-0.103337988,1.72369874,4
12,-0.1176982,-0.489096284,1.8529017,4
13,-0.0988633,-0.7897654,1.8170532,4
14,-0.140463069,-1.20090532,1.79489326,4
15,-0.1432429,-1.22258961,1.67164028,4
16,-0.008969691,-0.486632884,1.85321081,4
17,-0.0170339756,-0.7844101,1.82435358,4
18,0.01261791,-1.20157337,1.82410181,4
19,0.0274625421,-1.22781336,1.70409107,4
20,-0.0674145743,-0.0106330179,2.01761,4
21,-0.200469583,-0.5538907,1.72966218,4
22,-0.232444033,-0.506998539,1.73267317,4
23,0.0403219834,-0.05905302,1.69463766,4
24,0.008204985,-0.110648774,1.71835744,4
0,-0.06403002,-0.492199063,1.87709963,5
1,-0.0679620951,-0.212533116,1.95578825,5
2,-0.0715113655,0.0593412556,2.02078176,5
3,-0.06989515,0.18457754,2.045093,5
4,-0.2142276,-0.06465783,1.94342387,5
5,-0.2348439,-0.278211176,1.87931573,5
6,-0.2173444,-0.448970973,1.774571,5
7,-0.204127833,-0.5048555,1.74206889,5
8,0.07198724,-0.0523749478,1.96403837,5
9,0.1234682,-0.255296975,1.94369006,5
10,0.1517665,-0.170723662,1.74621427,5
11,0.1556827,-0.1521645,1.71741176,5
12,-0.117023543,-0.485265136,1.84304106,5
13,-0.09855363,-0.7872318,1.81142092,5
14,-0.138972864,-1.1972698,1.80301976,5
15,-0.141124427,-1.22353518,1.68162572,5
16,-0.008911237,-0.48238793,1.84716582,5
17,-0.0189972613,-0.780162036,1.81874943,5
18,0.016286565,-1.19654453,1.82660985,5
19,0.03415135,-1.22501123,1.70865047,5
20,-0.07069153,-0.007668211,2.006796,5
21,-0.194548145,-0.552611232,1.71788764,5
22,-0.239577651,-0.5109495,1.74633658,5
23,0.153663352,-0.110797405,1.66626835,5
24,0.107904606,-0.150639787,1.69733322,5
0,-0.0573620349,-0.492516339,1.8746829,6
1,-0.0601446219,-0.212794349,1.95586419,6
2,-0.0621670671,0.0587976351,2.02458715,6
3,-0.0590895377,0.183762684,2.04791379,6
4,-0.205646247,-0.06433837,1.943394,6
5,-0.227092549,-0.276150584,1.87639987,6
6,-0.211383864,-0.446094483,1.77049673,6
7,-0.197545275,-0.5027416,1.74114347,6
8,0.08286194,-0.05789006,1.97043931,6
9,0.145307377,-0.273967832,1.93534267,6
10,0.2522797,-0.261976928,1.74305749,6
11,0.28040877,-0.266629934,1.68170667,6
12,-0.110547081,-0.485037535,1.83953512,6
13,-0.09232449,-0.789099455,1.80951548,6
14,-0.136932641,-1.1965301,1.7985661,6
15,-0.137272909,-1.22251713,1.67700481,6
16,-0.00217594136,-0.483277351,1.846259,6
17,-0.015322079,-0.78099823,1.8155781,6
18,0.00711871171,-1.19794142,1.82825482,6
19,0.0247490257,-1.22968066,1.71255624,6
20,-0.0617276244,-0.008112335,2.00957417,6
21,-0.1856693,-0.551448166,1.71565545,6
22,-0.231634349,-0.5144665,1.74392867,6
23,0.31893006,-0.263077974,1.62947643,6
24,0.237596586,-0.250229031,1.65540016,6
0,-0.0524258725,-0.493939847,1.87824428,7
1,-0.0571059473,-0.214029044,1.9630034,7
2,-0.061091207,0.05787094,2.034648,7
3,-0.0530177057,0.182102352,2.05621362,7
4,-0.201909944,-0.06499852,1.949386,7
5,-0.2230659,-0.272843152,1.880979,7
6,-0.207863852,-0.447206,1.77122021,7
7,-0.194807842,-0.5024255,1.74458969,7
8,0.0891541,-0.06332895,1.9723351,7
9,0.125092939,-0.281849772,1.92142248,7
10,0.122833014,-0.439010173,1.79631007,7
11,0.109691776,-0.4884093,1.77681684,7
12,-0.105808534,-0.485841781,1.84273052,7
13,-0.09092475,-0.7934535,1.81060827,7
14,-0.139875472,-1.19708,1.79736459,7
15,-0.141929463,-1.22250724,1.67562449,7
16,0.00272653182,-0.485615462,1.8505547,7
17,-0.0148166632,-0.7831351,1.818042,7
18,0.00721807126,-1.20023513,1.82852626,7
19,0.02457331,-1.2317605,1.71270537,7
20,-0.0601588227,-0.009144631,2.01893663,7
21,-0.186050192,-0.549379945,1.721605,7
22,-0.22919248,-0.509165,1.74475837,7
