"jointType","x","y","z","time"
0,-0.0278137177,-0.4806336,1.9308821,1
1,-0.00447856449,-0.217776373,1.96799207,1
2,0.0158439223,0.0389751047,1.99531972,1
3,0.04498518,0.16388838,2.005413,1
4,-0.10264349,-0.04170798,1.918916,1
5,-0.110703565,-0.174121276,1.78477359,1
6,0.0312838219,-0.221416384,1.68279386,1
7,0.0688703,-0.217605874,1.653144,1
8,0.144833,-0.08466368,2.001193,1
9,0.160222873,-0.247080788,1.921021,1
10,-0.0112273786,-0.157867283,1.82041907,1
11,-0.0612915643,-0.139389351,1.80568564,1
12,-0.08335827,-0.4637716,1.88819039,1
13,-0.116527736,-0.7441538,1.82923257,1
14,-0.121285528,-1.0840348,1.79281092,1
15,-0.0887594,-1.10356,1.67942536,1
16,0.0285661239,-0.4826088,1.91405761,1
17,0.04856943,-0.754945457,1.85139382,1
18,0.05795272,-1.10350347,1.8175832,1
19,0.09005168,-1.12268233,1.70484781,1
20,0.0109357331,-0.0242757611,1.99034929,1
21,0.117186449,-0.2110053,1.60776913,1
22,0.08322296,-0.250910044,1.64071441,1
23,-0.1084667,-0.144399866,1.76188529,1
24,-0.107363,-0.126820609,1.77560008,1
0,-0.0132329371,-0.5176795,1.92497754,2
1,-0.00949707,-0.262570679,1.97517455,2
2,-0.005308018,-0.013141267,2.0130434,2
3,0.00627889065,0.114730418,2.04652071,2
4,-0.12980482,-0.09439437,1.97386384,2
5,-0.18424429,-0.246745124,1.79677081,2
6,-0.141026676,-0.188119143,1.69769728,2
7,-0.114087045,-0.145217136,1.64708376,2
8,0.133599952,-0.114937,1.98840666,2
9,0.1617887,-0.273862034,1.89840412,2
10,0.0271895938,-0.249917567,1.77798927,2
11,-0.0227478463,-0.204480037,1.7903105,2
12,-0.0786808,-0.5065122,1.892974,2
13,-0.155639619,-0.711604655,1.74291253,2
14,-0.172077015,-1.081679,1.70164359,2
15,-0.163479418,-1.10173881,1.584029,2
16,0.052639775,-0.5131439,1.8978076,2
17,0.11905618,-0.733160257,1.79107559,2
18,0.1411986,-1.10089147,1.85085928,2
19,0.150048167,-1.15501547,1.75476587,2
20,-0.006384997,-0.07478897,2.005681,2
21,-0.1048858,-0.111988686,1.61291111,2
22,-0.08058535,-0.140553653,1.62216663,2
23,-0.0331280231,-0.192322508,1.77529931,2
24,-0.01472275,-0.181704059,1.76074994,2
0,-0.0461137444,-0.5576462,1.97515583,3
1,-0.0115603385,-0.3078113,2.04678535,3
2,0.0234834924,-0.0640564561,2.10771275,3
3,0.0467460565,0.0474583432,2.16180229,3
4,-0.104069032,-0.131593913,2.042472,3
5,-0.168562368,-0.2336553,1.83153677,3
6,-0.120800465,-0.177703962,1.75411308,3
7,-0.08171766,-0.141507849,1.70864451,3
8,0.15143314,-0.188873291,2.09081578,3
9,0.127954587,-0.379265457,1.98078322,3
10,0.0516682565,-0.258379966,1.843635,3
11,0.04502733,-0.218522862,1.81609666,3
12,-0.10951034,-0.5340904,1.93304074,3
13,-0.219296381,-0.7171303,1.78651154,3
14,-0.274993628,-1.08554924,1.71420944,3
15,-0.254225135,-1.10007441,1.59599578,3
16,0.0181924365,-0.56529367,1.9588902,3
17,0.0714029,-0.763878763,1.79931533,3
18,0.09645726,-1.11528265,1.88743377,3
19,0.124754436,-1.18502855,1.81920969,3
20,0.0146239661,-0.124335766,2.094517,3
21,-0.0654877,-0.108900949,1.6760937,3
22,-0.04897641,-0.133702412,1.69636381,3
23,0.04924525,-0.202080891,1.79023015,3
24,0.0622889325,-0.213119268,1.77925014,3
0,-0.0602346435,-0.488070279,1.96123922,4
1,-0.06073627,-0.232426047,2.02257562,4
2,-0.0606421456,0.0171672534,2.07191443,4
3,-0.0538944751,0.149027616,2.0931232,4
4,-0.19594501,-0.08066507,2.02034044,4
5,-0.22499159,-0.251205683,1.903914,4
6,-0.113781005,-0.1996766,1.7680968,4
7,-0.08297256,-0.1691855,1.7417835,4
8,0.08597401,-0.09443328,2.06433272,4
9,0.115507737,-0.269197762,1.97875,4
10,0.0650058538,-0.150133,1.80092943,4
11,0.0638703555,-0.140940577,1.79479778,4
12,-0.1226141,-0.478603125,1.92306828,4
13,-0.1788114,-0.745862544,1.85287,4
14,-0.210897982,-1.09062159,1.874043,4
15,-0.199595973,-1.12883389,1.7647115,4
16,0.004060695,-0.482526243,1.93948615,4
17,0.05139997,-0.7326921,1.85220385,4
18,0.08292142,-1.09463084,1.84794044,4
19,0.103406608,-1.12126458,1.73466825,4
