"jointType","x","y","z","time"
0,0.0216211472,-0.47296688,2.083231,1
1,0.0244551171,-0.198324308,2.117153,1
2,0.027119536,0.06957596,2.13873649,1
3,0.01953201,0.205657318,2.13460946,1
4,-0.125131488,-0.0480575971,2.14800382,1
5,-0.1645162,-0.301144749,2.12665963,1
6,-0.170358166,-0.491429657,2.047971,1
7,-0.1682995,-0.5233175,2.032931,1
8,0.137175441,-0.0390632376,2.058634,1
9,0.2098816,-0.212427512,1.86732531,1
10,0.180029213,-0.234473124,1.78699589,1
11,0.169806033,-0.24760744,1.75468683,1
12,-0.0426167063,-0.470571041,2.06582665,1
13,-0.0665469,-0.765754044,2.01289439,1
14,-0.07257972,-1.06652582,1.97426283,1
15,-0.0411456265,-1.12203217,1.90101016,1
16,0.08504704,-0.4606641,2.036083,1
17,0.141444445,-0.752911448,1.98693407,1
18,0.168066025,-1.05280292,1.95114863,1
19,0.113211796,-1.10917568,1.91428185,1
20,0.026497446,0.00345935137,2.13555264,1
21,-0.159986,-0.5351971,2.02379417,1
22,-0.140501887,-0.5296802,2.03258681,1
23,0.145819977,-0.242344633,1.69118965,1
24,0.144114435,-0.280596733,1.74316,1
0,0.0215532128,-0.472848475,2.07171679,2
1,0.022612039,-0.197329476,2.1087954,2
2,0.0235145669,0.0714143,2.13271236,2
3,0.0180171132,0.206645519,2.13268828,2
4,-0.126205146,-0.04811393,2.138928,2
5,-0.163915053,-0.298990428,2.1082716,2
6,-0.164753661,-0.488140732,2.026154,2
7,-0.168315485,-0.495295435,2.01598787,2
8,0.139025271,-0.0398919359,2.04949975,2
9,0.217557549,-0.1796485,1.90835166,2
10,0.19969888,-0.246387526,1.7079438,2
11,0.189474449,-0.2386645,1.67739046,2
12,-0.04328923,-0.4701216,2.05284452,2
13,-0.06693697,-0.764220953,2.00578618,2
14,-0.07404411,-1.06543458,1.97343826,2
15,-0.0447386876,-1.12128437,1.89931738,2
16,0.08577672,-0.4608119,2.025861,2
17,0.14133729,-0.7501848,1.98396,2
18,0.168640554,-1.05031562,1.952417,2
19,0.1166541,-1.10858417,1.91426516,2
20,0.02332749,0.00509257428,2.12898159,2
21,-0.160863191,-0.5316831,2.00033069,2
22,-0.143817469,-0.473110676,2.00522232,2
23,0.1789819,-0.242088914,1.61752021,2
24,0.1466805,-0.235952929,1.68940628,2
0,0.02017723,-0.471473515,2.065655,3
1,0.0223881789,-0.196786627,2.09985733,3
2,0.024421,0.07103842,2.120332,3
3,0.0198204946,0.207693964,2.11926126,3
4,-0.124940492,-0.0421406664,2.12805,3
5,-0.163717881,-0.294984043,2.0994277,3
6,-0.164706081,-0.485732824,2.01834369,3
7,-0.1667444,-0.51129055,2.006834,3
8,0.141725063,-0.040483024,2.04392958,3
9,0.21713905,-0.184992954,1.90620327,3
10,0.210789278,-0.245463923,1.70307362,3
11,0.196046978,-0.2414715,1.66970229,3
12,-0.04512728,-0.468147069,2.0454638,3
13,-0.06639009,-0.7633193,2.00271082,3
14,-0.07255311,-1.06475,1.97371125,3
15,-0.0364999175,-1.12074053,1.90476453,3
16,0.08479841,-0.459961921,2.02109432,3
