Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
100,34,186,3.6075,3.25,1026,320
101,254,505,3.712307692,3.305384615,1079,239
102,601,688,3.776,3.28,1020,234
103,773,1063,3.891333333,3.404,1097,132
104,1373,1588,3.902727273,3.562222222,889,217
105,2218,2349,4.038571429,3.651428571,1061,242
106,2411,2566,4.0075,3.647142857,939,223
107,2779,3129,4.04,3.687142857,800,211
108,3613,3748,3.891428571,3.417142857,1094,646
109,3831,4047,3.876363636,3.433636364,994,481
110,4096,5527,4.014027778,3.549444444,874,376
111,5571,5808,4.003333333,3.533333333,903,300
112,6690,6768,3.8525,3.47,1087,183
113,6795,7442,3.932424242,3.516060606,1092,233
114,7470,7607,4.078571429,3.632857143,1169,227
115,7708,7826,4.086666667,3.553333333,702,344
116,7868,8881,3.722941176,3.427254902,772,361
117,10368,10504,3.711428571,3.258571429,1007,133
118,10609,10944,3.6,3.293529412,1051,422
119,11027,11340,3.615625,3.275,818,471
120,11366,11443,3.615,3.29,843,501
121,11530,11939,3.795714286,3.41,996,631
122,12045,12240,4.093,3.73,888,354
123,12308,13081,3.941794872,3.62,777,332
124,13290,13939,3.486969697,3.201212121,1017,326
125,14046,14722,3.320588235,3.040882353,1079,354
126,15044,16282,3.574677419,3.271774194,909,335
127,16345,17000,3.801515152,3.507878788,1008,360
128,17028,17241,3.909090909,3.553636364,1003,400
129,17266,17579,3.894375,3.57125,969,415
130,17742,18316,4.114137931,3.842758621,906,393
131,18344,18540,3.892,3.635,960,387
132,18568,18754,3.786,3.577,939,380
133,18782,18994,3.83,3.588181818,899,381
134,19042,19496,3.641304348,3.384347826,869,304
135,19524,19775,3.298461538,3.063076923,839,364
136,19850,20059,3.321818182,3.097272727,947,354
137,20141,20656,3.527307692,3.274230769,1127,402
138,20760,20999,3.674166667,3.468333333,757,464
139,21063,21192,3.714285714,3.418571429,1035,487
140,21267,21374,3.631666667,3.44,1039,395
141,21441,21696,3.642307692,3.341538462,940,491
142,21743,22654,3.823913043,3.478695652,918,564
143,22761,22858,4.04,3.672,926,306
144,22945,23279,3.986470588,3.605882353,847,621
145,23321,23514,4.069,3.672,890,564
146,23560,24076,4.144230769,3.688461538,841,619
147,24104,24618,4.122692308,3.651923077,866,636
148,24639,25616,4.125306122,3.567755102,916,555
149,25797,25895,4.078,3.608,692,510
150,26098,26313,4.18,3.602727273,1153,453
151,26359,26496,4.257142857,3.714285714,1101,453
152,27357,28335,4.471836735,4.01244898,921,481
153,28376,28615,4.486666667,4.076666667,892,464
154,28637,31829,4.2670625,3.8246875,919,514
155,31915,32031,3.828333333,3.525,776,471
156,32080,32409,3.869411765,3.577058824,742,411
157,32496,32670,4.061111111,3.626666667,877,579
158,32699,32931,4.220833333,3.8175,833,601
159,33018,33270,4.208461538,3.833846154,831,368
160,33318,33512,4.089,3.707,872,400
161,33613,33745,4.088571429,3.75,915,295
162,33793,34570,4.287179487,3.883076923,891,314
163,34613,34806,4.276,3.805,885,205
164,34832,34928,4.3,3.862,900,166
165,34995,35910,4.399782609,3.925652174,907,162
166,36274,36408,4.264285714,3.812857143,890,272
167,36451,36790,4.194117647,3.787058824,963,413
168,36914,37369,3.846521739,3.525217391,928,492
169,37414,37564,3.77375,3.45375,885,492
