Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
303,49982,50059,4.3,4.566666667,936,373
304,50080,50232,4.27,4.57,872,416
305,50260,50356,4.288,4.538,949,414
306,50384,50519,4.39,NA,862,448
307,50587,50877,4.407333333,4.175333333,870,392
308,50964,51032,4.5325,NA,788,158
309,51265,51353,4.46,3.8725,904,241
310,51661,51757,4.41,3.54,588,247
311,51842,52033,4.301,4.27,697,292
312,52099,52176,4.315,3.565,573,246
313,52405,52717,4.384375,3.524166667,680,267
314,53062,53614,4.558928571,NA,813,249
315,53918,54595,4.765294118,4.045833333,774,169
316,54637,54712,4.91,NA,775,130
317,54904,55108,4.919090909,3.86625,738,113
318,55160,55312,5.00625,3.85625,755,52
319,55400,55594,4.817,3.587777778,768,121
320,56039,56116,4.775,3.92,895,148
321,56298,56434,4.687142857,NA,776,78
322,56501,56608,4.59,3.86,940,134
323,56683,56752,4.595,4.006666667,925,142
324,56876,57070,4.632,NA,760,207
325,57156,57455,4.695333333,4.42,738,217
326,57716,57910,4.766,3.96,905,113
327,57983,58255,4.737142857,4.033333333,745,230
328,58276,58591,4.665625,NA,795,230
329,58639,58707,4.6775,NA,934,109
330,58801,58911,4.811666667,4.02,1046,70
331,58940,59048,4.868333333,4.1,890,107
332,59676,59753,4.4875,3.74,960,154
333,59837,59911,4.425,4.41,920,291
334,60294,60391,4.664,4.038,979,229
335,60416,60527,4.68,3.696,956,185
336,60775,60970,4.308,NA,896,175
337,61175,61412,3.939090909,4.059090909,966,142
338,61754,61829,4.04,3.6975,866,253
339,61979,62047,4.0075,3.3375,861,242
340,62214,62331,4.105,4.356666667,884,255
341,62637,62727,3.666,3.216,915,251
342,63617,63685,3.42,4.11,910,268
343,64080,64167,3.192,3.836,961,311
344,64933,66910,4.337777778,3.592285714,731,472
345,66971,67122,4.67375,3.638,905,339
346,67151,67249,4.764,3.77,825,426
347,67795,67924,4.524285714,3.985714286,813,401
348,68094,68249,4.52125,4.06875,922,301
349,68711,68960,4.362307692,4.16,809,399
350,69590,69765,4.414444444,4.2625,933,336
351,69811,70128,4.466875,4.296153846,933,316
352,70213,70348,4.592857143,4.525714286,961,315
353,70373,70845,4.554166667,4.491304348,944,313
354,70908,71006,4.402,4.17,737,383
355,71069,71225,4.48375,3.64,709,179
356,71252,71406,4.55,NA,744,226
357,71468,71886,4.377142857,3.460833333,658,224
358,72188,72286,4.468,3.5325,870,368
359,72389,72487,4.55,3.37,854,347
360,72568,72861,4.536,3.711538462,876,346
361,73189,73306,4.451666667,NA,856,432
362,73413,73502,4.514,4.46,855,122
363,73530,74364,4.47952381,NA,833,199
364,74426,74561,4.331428571,3.666666667,1122,145
365,74647,75182,4.343333333,3.86,733,243
366,75571,76005,4.680909091,4.45952381,962,208
367,76025,76480,4.526956522,4.204285714,984,212
368,77265,77360,4.93,3.526,1648,194
369,77765,77920,4.77,3.41125,555,568
370,78626,78839,NA,4.711818182,1480,232
371,79264,79438,4.49,1.99,400,544
372,79467,79577,4.473333333,2.983333333,457,512
373,79609,79699,4.26,3.476,522,509
374,79747,79822,4.1875,2.94,690,347
375,79886,80017,4.201428571,3.081428571,727,360
376,80046,80181,4.344285714,3.69,718,452
377,80206,80335,4.451428571,4.254285714,798,400
378,80527,80614,4.768,4.838,811,532
379,80643,80722,4.8375,4.295,818,518
380,80807,80894,4.948,3.838,844,305
381,81003,81176,4.945555556,3.46375,784,249
382,81402,81661,5.033846154,4.128461538,839,459
383,82207,82421,3.226363636,5.089090909,1374,248
384,82709,82880,4.747777778,5.26,924,924
385,83348,83437,4.736,5.37,295,518
386,83964,84158,4.624,NA,309,648
387,84286,84353,NA,5.2275,247,409
388,84643,84758,4.775,3.664,336,601
389,84860,85099,4.865,3.288,326,715
390,85383,85459,NA,5.3625,315,397
391,85480,85614,4.56,5.123333333,364,399
392,85720,85798,4.48,4.945,344,393
393,85924,86012,4.568,4.815,481,365
394,86341,86477,4.537142857,3.132857143,814,282
395,86564,86718,4.54375,3.332857143,844,282
396,86846,87097,4.425384615,4.481818182,881,351
397,87203,88156,4.230625,NA,728,322
398,88223,88551,4.307058824,4.228125,898,192
399,88580,88834,4.372307692,3.603333333,793,265
400,88861,88931,4.455,4.01,923,139
401,88958,89191,4.4475,4.14,784,225
402,89259,90092,4.532380952,3.751666667,782,217
403,90121,90451,4.712352941,3.755333333,756,240
404,90558,90776,4.83,4.004545455,906,324
405,90940,91255,4.713125,4.11125,907,147
406,91320,91594,4.565714286,4.015384615,912,134
407,91623,91795,4.53,3.906666667,756,204
408,91978,92350,4.428421053,4.022631579,899,69
409,92476,93087,4.700322581,3.755384615,738,89
410,93657,94470,4.927804878,3.39,746,69
411,95120,95207,4.914,4.33,709,305
412,95400,96050,4.752424242,3.618076923,745,81
413,96079,96410,4.846470588,3.085714286,758,105
414,96436,96532,4.85,3.4725,744,159
415,96595,96692,4.716,NA,875,49
416,96779,97110,4.554705882,3.914,728,221
417,97214,97368,4.51125,3.933333333,753,256
418,97397,97590,4.496,3.94,714,270
419,97654,97809,4.7275,NA,945,147
420,98472,98646,4.678888889,3.505555556,884,35
421,99539,99771,4.215,5.89,756,375
422,99893,100022,4.252857143,4.343333333,842,374
423,100138,100268,4.214285714,NA,764,349
424,100293,100589,4.087333333,NA,705,344
425,100675,101170,4.114,4.055,731,344
426,101274,101470,4.125,NA,725,360
427,101552,101723,3.935555556,3.471666667,518,372
428,101798,101926,3.8,NA,813,339
429,102254,102544,3.857333333,5.126153846,781,364
430,102611,102746,3.654285714,3.495,761,235
431,102910,103267,3.62,NA,913,257
432,103933,104107,4.04,3.873333333,850,370
433,104170,104745,4.240689655,4.025925926,873,359
434,104813,104923,4.381666667,4.475,948,328
435,104956,106281,4.415223881,4.362878788,930,351
436,106329,106426,4.454,4.266,937,287
437,106452,106562,4.353333333,3.363333333,881,301
438,106629,106784,4.315714286,3.235,723,264
439,106813,106880,4.413333333,NA,677,239
440,106909,107102,4.325,3.74,702,249
441,107188,107266,4.27,NA,825,269
442,107294,107401,4.28,4.038,899,183
443,107449,107626,4.456666667,NA,958,129
444,107709,107981,4.291428571,4.403333333,706,259
445,108067,108144,4.3425,4.535,880,418
446,108208,108662,4.40826087,4.616956522,959,394
447,108771,108922,4.34875,4.49875,959,253
448,108968,109182,4.4025,4.472727273,1045,217
449,109386,109539,4.4875,4.57875,961,288
450,109568,109819,4.384615385,4.48,944,285
451,109906,110041,4.345714286,4.272857143,912,262
452,110253,110542,4.427333333,3.65625,758,182
453,110571,111238,4.392352941,3.830645161,723,180
454,112669,112983,4.771875,3.825,722,148
455,113026,113183,4.65,3.331666667,812,14
456,115168,115256,4.674,3.8525,749,184
457,115324,115402,4.665,4.2425,842,217
458,115489,115600,4.603333333,4.274,829,219
459,115784,115897,4.473333333,3.934,966,26
460,116128,116439,4.240625,4.166666667,834,335
461,116523,116641,4.353333333,4.655,1020,388
462,117605,117713,4.003333333,3.36,929,251
463,117981,118060,4.0075,NA,800,540
464,118128,118196,4.08,2.82,827,361
465,119084,119175,3.826,2.8725,818,289
466,119788,120012,3.855833333,2.65,847,331
467,120126,120216,3.888,2.47,548,472
468,120323,120473,3.81875,5.561428571,569,451
469,120580,120677,3.868,2.4,841,346
470,120802,120899,4.022,2.616,680,508
471,120967,121075,4.066666667,2.6,600,504
