Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
4,2,565,4.365357143,4.094285714,1015,499
5,609,723,4.35,3.721666667,1063,393
6,913,983,4.605,3.615,1112,345
7,1074,1204,4.485714286,3.352857143,1123,320
8,1247,1324,4.5,3.5625,1115,351
9,1527,1703,4.4,3.971111111,1056,377
10,1732,1803,4.436666667,3.98,1043,347
11,1829,2082,4.443846154,4.104615385,1059,312
12,2131,2402,4.49,4.224285714,1051,387
13,2432,3022,4.304333333,4.144333333,1048,433
14,3072,3263,4.412,4.245,1008,501
15,3524,3763,4.727777778,4.4225,1101,677
16,4005,4143,4.812857143,4.391428571,1100,315
17,4205,4317,4.718333333,4.291666667,1028,242
18,4344,4415,4.5975,4.15,1047,191
19,4904,5218,4.58375,4.293125,1086,683
20,5325,5519,4.878,4.602,1111,653
21,5686,5819,4.81,4.437142857,1228,645
22,5846,7496,4.588433735,4.427831325,1222,649
23,8243,8340,4.87,4.37,1217,692
24,8383,8599,4.762727273,4.411818182,1134,678
25,8844,8999,4.95875,4.6025,1388,698
26,9063,9193,4.92,4.59,1347,716
27,9664,9815,4.615,4.285,584,488
28,10207,10479,3.765714286,3.562857143,651,490
29,10565,10759,3.687,3.512,758,432
30,11028,11119,3.972,3.722,1286,690
31,12026,12457,5.014545455,4.602727273,1317,570
32,12525,12896,4.926842105,4.662631579,1176,584
33,13325,13577,4.967692308,4.828461538,1219,589
34,13858,13972,5.045,4.726666667,757,911
35,14079,14674,4.916333333,4.64,928,709
36,14702,15171,4.884782609,4.620833333,1018,758
37,15279,15377,5.044,4.754,1086,805
38,16239,16513,3.772142857,3.483571429,780,262
39,16539,16934,3.879,3.6805,821,315
40,16960,18095,3.990701754,3.820877193,853,287
41,18165,18474,4.093333333,3.816875,1041,469
42,19000,19133,3.825714286,3.725714286,1150,388
43,19377,19512,3.917142857,3.835714286,1107,401
44,19722,19812,4.022,3.924,671,435
45,19841,20272,3.891363636,3.766363636,647,430
46,20717,20827,4.286666667,4.11,1227,401
47,21218,21309,4.503333333,4.062,1497,684
48,21577,21708,4.66,4.265714286,1254,533
49,21738,21947,4.590909091,4.273636364,1209,523
50,22176,22730,4.610714286,4.328571429,1194,492
51,22754,22849,4.846,NA,1147,528
52,22873,23172,4.915333333,4.611428571,1193,514
53,23233,23347,4.863333333,4.565,1195,443
54,23733,24348,5.075806452,4.798666667,1218,510
55,24376,24526,4.8975,4.5875,1215,519
56,24555,26348,4.943333333,4.589444444,1246,536
57,26672,27604,5.118297872,4.775106383,1321,505
58,27714,27870,4.908571429,4.57375,864,778
59,27955,28548,4.616666667,4.221666667,588,672
60,28656,28728,4.18,3.9525,1287,464
