Eye.movement.type.index,initTime,endTime,lpup,rpup,fx,fy
7,3,47,5.005,4.8,922,301
8,311,467,5.08625,4.81625,881,305
9,1351,1443,4.452,4.572,1515,315
10,1491,1943,4.903043478,4.836190476,1471,288
11,2051,2126,5.1925,4.703333333,1702,201
12,2169,2266,5.154,4.84,1730,197
13,2650,2885,4.915,4.917272727,1449,331
14,3869,3999,4.567142857,4.814285714,820,705
15,4028,4123,4.74,4.98,836,724
16,4149,4325,4.701111111,5.03875,822,723
17,4586,4663,4.9475,4.9475,1172,979
18,4731,4963,4.951666667,4.83,1017,814
19,6066,6141,4.9075,5.09,853,887
20,6226,6461,4.771666667,4.523333333,1143,726
21,6747,6824,4.89,5.14,752,848
22,6911,7062,4.95625,5.4025,570,1001
23,7169,7319,4.86125,4.9675,853,566
24,7653,7761,4.806666667,5.061666667,516,691
25,7884,7961,4.626666667,4.9525,332,728
26,7990,8077,NA,4.946,321,743
27,8285,8362,NA,5.0525,78,870
28,9186,9358,4.956666667,5.24,689,588
29,9463,9601,5.224285714,4.768571429,1132,162
30,9865,9961,4.75,4.656,723,228
31,10003,10259,4.625384615,4.483846154,773,252
32,10288,11541,4.554285714,4.406666667,775,276
33,11705,11798,4.502,4.45,1038,236
34,12188,12277,4.868,4.458,1101,71
35,12441,12577,4.91,4.217142857,1035,149
36,12767,12857,4.926,4.732,1447,178
37,13002,13118,4.888333333,4.628333333,1269,73
38,13145,13360,4.949090909,4.692727273,1244,67
39,13760,13858,5.084,4.733333333,1116,175
40,13966,14117,4.61375,4.94,786,328
41,14267,14354,4.72,4.486,915,301
42,14440,14836,4.9175,4.92,834,142
43,14900,15039,4.842857143,4.608571429,945,317
44,15082,15213,4.887142857,4.587142857,901,293
45,15361,15436,4.825,4.8675,1033,578
46,15704,15779,5.1,4.7625,1250,192
47,15843,16218,5.226315789,4.972631579,1167,60
48,16260,16336,5.135,4.85,1091,89
49,16604,16712,5.026666667,5.091666667,713,738
50,16820,16933,4.866666667,4.47,882,228
51,17039,17135,4.932,4.938,679,752
52,17338,17473,4.874285714,4.696666667,478,148
53,17501,17696,4.889,4.848,518,202
54,17918,18197,4.735714286,4.614285714,587,263
55,18262,18390,4.617142857,4.504285714,459,279
56,18418,18593,4.528888889,4.412222222,496,268
57,18678,18832,4.5625,4.65,820,736
58,18918,19033,4.281666667,4.355,865,448
59,19120,19313,4.137,4.283,1046,389
60,19380,19469,4.038,4.136,1043,573
61,19522,19716,4.252,4.251,1082,491
62,19845,19934,4.568,4.612,1218,662
63,20040,20216,4.61,4.582222222,1066,394
64,20264,20332,4.745,4.78,1124,431
65,20362,20430,4.6725,4.7725,1112,415
66,20678,20775,4.774,4.694,783,304
67,21022,21333,4.9325,4.96875,1196,487
68,21417,21494,4.945,4.745,949,500
69,21920,22326,4.53047619,4.711904762,753,459
70,22421,22892,4.657916667,4.682916667,849,381
71,22915,23071,4.485,4.58625,811,352
72,23177,23411,4.568333333,4.51,1252,320
73,23440,23508,4.4375,4.53,1244,368
74,23756,23853,4.424,4.4,990,329
75,23896,24034,4.395714286,4.364285714,912,298
76,24121,24189,4.1825,4.1975,578,392
77,24380,25293,4.108695652,4.279130435,601,527
78,25375,25505,4.094285714,4.127142857,948,480
79,25557,25793,4.121666667,4.223333333,1021,467
80,25880,25967,4.086,4.2,530,454
81,25996,26248,4.124615385,4.203076923,490,432
82,26334,26471,4.215714286,4.335714286,924,389
83,26518,27046,4.215925926,4.354444444,939,398
84,27140,27250,4.301666667,4.386666667,1198,349
85,27474,27645,4.276666667,4.231111111,966,223
86,27739,28124,4.3555,4.7025,1142,350
87,28152,28348,4.298,4.538,1118,353
88,28413,28509,4.192,4.42,850,391
89,28594,29727,4.087719298,4.225789474,643,400
90,29794,29930,3.951428571,3.991428571,721,503
91,29974,30789,4.002195122,4.052195122,729,596
92,30915,31070,4.18125,4.20375,1198,521
93,31133,31445,4.17125,4.320625,1207,344
94,31532,31744,4.179090909,4.429090909,1002,566
95,31812,32127,4.244375,4.4225,896,526
96,32295,32363,4.445,4.49,856,297
97,32392,32460,4.375,4.6,852,334
98,32492,32664,4.178888889,4.211111111,885,308
99,32711,32847,3.951428571,4.04,833,256
100,33069,33445,4.127368421,4.176842105,540,378
101,33989,34140,4.433333333,4.505,499,870
102,34168,34583,4.3955,4.596190476,498,750
103,34931,35047,4.461666667,4.62,48,886
104,36371,36642,4.226428571,4.315714286,1162,344
105,36747,36845,4.212,4.408,875,335
106,37112,37222,4.375,4.22,1230,147
107,37309,37483,4.29,4.52,960,373
108,37570,38465,4.288666667,4.224444444,1119,257
109,38530,38724,4.188,4.303,872,330
110,38746,39161,4.131428571,4.25,905,275
111,39248,39604,4.166666667,4.281666667,746,492
112,39690,39839,4.14875,4.255,913,293
113,39886,40342,4.440434783,4.512608696,849,255
114,40385,41503,4.4525,4.473928571,894,274
115,41546,41900,4.432222222,4.577777778,789,234
116,41986,42136,4.45875,4.38625,928,444
117,42365,42522,4.5925,4.5575,907,196
118,42605,42801,4.491,4.575,763,251
119,42885,43219,4.585882353,4.306470588,1000,186
120,43348,43641,4.524666667,4.431333333,907,312
121,43709,44078,4.516315789,4.588947368,676,359
122,44164,44401,4.593333333,4.454166667,912,453
123,44444,44736,4.592,4.712666667,833,372
124,44823,44919,4.682,4.656,865,477
125,45005,45160,4.64375,4.53625,875,314
126,45284,46177,4.846444444,4.636888889,899,306
127,46386,46776,4.6905,4.593,974,315
128,46803,47600,4.5775,4.455,943,365
129,47644,48077,4.485454545,4.496363636,1040,373
130,48103,48635,4.576296296,4.670740741,1079,389
131,48703,48954,4.615384615,4.485384615,946,336
132,49001,49252,4.802307692,4.709230769,1103,360
133,49280,49511,4.9175,4.711,1045,281
134,49645,49993,4.844444444,4.701666667,998,315
135,50021,50176,4.87,4.66,966,316
136,50301,50437,4.86,4.548571429,1068,326
137,50543,50815,4.825714286,4.645,990,310
138,50902,51618,4.923888889,4.58,1030,198
139,51640,53013,4.908115942,4.598955224,1013,171
140,53042,53971,4.938085106,4.689148936,1062,177
141,54217,54349,NA,5.19,383,1073
142,54485,54572,NA,4.88,370,965
143,54820,54930,4.75,4.451666667,1161,203
144,54978,55210,4.884166667,4.405833333,1086,219
145,55237,55616,5.008421053,4.672105263,1016,129
146,55644,56275,5.1078125,4.9809375,1036,150
147,56297,56952,4.939090909,4.777878788,1032,223
148,57015,57308,4.870666667,4.553571429,1013,192
149,57376,57791,4.506666667,4.382380952,1106,152
150,57877,58114,4.295,4.589166667,897,340
151,58198,58431,4.396666667,4.6075,757,311
152,58537,58693,4.46125,4.39875,981,330
153,58974,59090,4.5,4.786666667,326,858
154,59313,59431,4.43,4.676666667,194,736
155,59901,60011,4.726666667,4.653333333,1101,371
156,60054,60508,4.780869565,4.76173913,949,339
157,60593,60749,4.93625,4.7375,929,192
158,60816,61309,4.7992,4.669166667,985,269
159,61358,61629,4.875714286,4.665,1061,267
160,61935,62010,4.8575,4.956666667,833,634
161,62074,62267,4.851,4.651,777,554
162,62296,62588,4.855333333,4.693333333,937,436
163,62635,62931,4.868,4.709333333,962,387
164,62953,63706,4.805789474,4.647894737,985,390
165,63792,63889,5.014,4.58,1061,126
166,63975,64247,4.952142857,4.685,1137,125
167,64314,64950,4.83125,4.6996875,912,369
168,64975,65589,4.667096774,4.555806452,922,360
169,65657,65725,4.6175,4.565,995,358
170,65812,66189,4.763684211,4.458333333,948,148
171,66255,66488,4.6825,4.88,1068,399
172,66513,66707,4.778,4.806,1145,395
173,66772,67107,4.788823529,4.629411765,963,265
174,67172,67403,4.9275,4.9375,836,153
175,67615,67866,4.816153846,4.653333333,998,258
176,67895,68024,4.77,4.627142857,989,250
177,68051,68121,4.7625,NA,949,276
178,68153,68421,4.727857143,4.494285714,986,228
179,68449,69107,4.788787879,4.615757576,1017,205
180,69136,69204,4.77,4.37,972,201
181,69271,69966,4.728571429,4.554857143,935,401
182,70030,70184,4.67875,4.72125,1120,386
183,70232,70859,4.8065625,4.6603125,1173,332
184,70954,71382,4.808181818,4.687727273,885,336
185,71431,71904,4.82625,4.685833333,958,371
186,71935,72080,4.79375,4.54,1006,425
187,72129,72421,4.774666667,4.652666667,1075,407
188,72448,72724,4.752857143,4.648571429,1049,379
189,72811,73044,5.116666667,4.799166667,1155,137
190,73131,73304,5.077777778,4.693333333,935,197
191,73371,73545,4.987777778,5.015555556,818,148
192,73574,73805,5.089166667,4.961666667,865,178
193,73831,73981,5.065,5.0125,873,138
194,74027,74259,5.048333333,4.905,869,185
195,74288,74677,4.988,4.706,931,188
196,74967,75043,5.09,4.685,1054,116
197,75151,75423,4.8,4.726428571,955,279
198,75452,76079,4.8690625,4.7821875,962,271
199,76310,76398,5.104,4.832,992,176
200,76425,76820,5.1315,4.9035,966,212
201,76963,77118,5.00875,4.98625,1105,432
202,77445,77542,5.108,5.138,950,208
203,77703,77878,4.935555556,5.05875,869,225
204,78090,78220,5.018571429,4.932857143,991,257
205,78247,79221,4.974285714,4.791020408,943,228
206,79285,79597,4.940625,4.8575,1111,295
207,79662,80395,4.744594595,4.703243243,1006,328
208,80443,80616,4.641111111,4.563333333,957,348
209,80664,80799,4.54,4.491428571,936,295
210,80862,81098,4.63,4.535833333,1090,263
211,81141,81339,4.779,4.469,1071,210
212,81407,81959,4.755,4.692857143,925,309
